65 77
0 1 5.00
0 2 5.00
0 6 5.00
2 7 5.00
2 55 5.00
3 56 5.00
3 4 5.00
3 7 5.00
4 7 5.00
5 7 5.00
7 8 5.00
7 10 5.00
7 46 5.00
7 47 5.00
7 48 5.00
7 53 5.00
7 22 5.00
7 56 5.00
8 9 5.00
8 25 5.00
8 26 5.00
8 27 5.00
8 28 5.00
8 61 5.00
10 49 5.00
10 11 5.00
12 13 5.00
12 22 5.00
14 36 5.00
15 22 5.00
16 22 5.00
17 22 5.00
18 22 5.00
19 44 5.00
19 20 5.00
19 22 5.00
20 21 5.00
20 22 5.00
22 36 5.00
22 37 5.00
22 44 5.00
22 54 5.00
22 23 5.00
22 25 5.00
22 28 5.00
22 61 5.00
22 62 5.00
22 63 5.00
24 25 5.00
27 31 5.00
29 36 5.00
30 36 5.00
31 32 5.00
31 34 5.00
31 35 5.00
31 33 5.00
36 38 5.00
36 39 5.00
36 40 5.00
36 41 5.00
36 42 5.00
36 43 5.00
45 48 5.00
46 53 5.00
46 47 5.00
50 52 5.00
51 52 5.00
52 53 5.00
54 64 5.00
54 57 5.00
54 62 5.00
54 63 5.00
55 60 5.00
56 60 5.00
57 58 5.00
58 59 5.00
59 60 5.00
