25 56
0 1 4.56
0 2 17.19
0 6 1.94
0 7 4.93
1 6 6.50
2 3 7.44
2 6 16.04
2 9 6.28
2 15 22.13
2 16 9.95
2 17 44.75
2 20 41.83
2 21 30.33
3 8 11.08
3 9 11.86
3 6 8.65
4 5 8.57
4 7 5.63
5 7 13.08
5 8 5.19
5 9 11.28
5 13 17.38
5 14 9.69
6 7 2.99
8 9 6.11
8 13 14.88
9 13 13.23
9 16 5.81
9 22 38.29
10 11 7.66
10 13 10.68
10 14 12.87
11 12 4.58
11 13 5.44
11 14 20.46
12 24 20.44
12 13 6.10
13 15 15.97
13 16 10.96
13 17 35.73
13 22 29.86
15 16 13.38
15 17 22.87
15 21 8.95
16 17 36.23
17 18 1.81
17 19 12.93
17 20 16.40
17 21 14.47
17 22 8.39
18 21 12.85
19 20 3.50
21 22 13.99
22 23 2.69
22 24 8.61
23 24 7.21
