53 65
0 1 14.76
0 3 4.59
1 47 5.75
2 25 6.21
2 3 1.94
2 44 2.16
2 51 3.35
3 33 5.00
3 13 5.00
3 47 17.19
3 21 5.00
3 22 5.00
3 31 5.00
4 5 2.14
4 7 11.67
5 8 1.00
5 12 5.00
5 45 22.39
5 19 5.00
5 20 5.00
6 26 5.00
6 47 41.83
6 10 5.00
6 14 5.00
6 7 3.50
8 9 7.55
9 35 29.86
9 37 8.61
9 38 2.69
9 11 5.00
9 27 5.00
9 28 5.00
15 52 5.00
16 35 5.00
17 49 5.00
18 40 5.00
23 51 5.00
24 40 5.00
25 43 4.59
25 47 9.89
29 49 5.00
30 47 5.00
32 35 5.00
34 47 5.00
35 36 6.10
35 42 5.44
35 48 10.96
35 49 17.38
35 41 10.68
36 42 4.58
36 37 20.44
37 38 7.21
39 40 4.95
39 41 11.61
40 49 14.62
41 42 7.66
43 50 5.63
43 44 1.00
43 52 1.00
45 47 22.13
46 47 8.57
47 48 9.95
49 50 8.57
49 51 12.79
51 52 1.00
