48 64
0 2 3.54
1 2 5.84
1 6 1.68
2 3 5.67
2 4 8.50
2 39 2.17
2 46 7.29
4 33 3.82
4 5 55.44
4 7 5.96
5 8 54.59
6 7 3.92
8 9 1.00
8 27 6.05
8 33 4.07
10 19 2.51
11 25 1.46
11 21 1.94
12 40 4.93
12 28 7.06
12 14 8.01
13 29 5.26
13 14 2.47
14 16 3.50
14 15 1.98
15 16 2.48
16 17 2.70
16 21 7.46
16 23 5.43
17 18 2.81
18 19 1.35
20 21 2.04
20 22 3.12
20 23 1.32
21 25 2.17
22 24 13.46
22 25 1.25
24 25 12.68
26 27 2.62
27 33 10.10
27 38 3.99
27 39 2.05
28 29 1.51
29 34 10.54
29 43 5.01
30 32 2.74
30 33 1.39
30 31 1.80
31 33 2.88
31 35 23.18
31 36 16.95
31 37 16.40
34 42 19.37
34 45 17.33
35 40 55.38
35 36 7.73
36 37 1.00
38 47 6.49
40 41 13.08
41 42 17.38
43 44 9.91
44 45 8.89
45 46 10.62
45 47 8.03
