51 66
0 48 1.19
1 4 2.08
2 42 1.00
3 50 2.38
4 35 6.88
4 49 7.90
5 46 5.17
6 26 12.46
6 31 6.38
7 48 2.31
8 46 3.72
9 46 1.78
10 15 11.34
10 35 1.00
10 46 1.00
10 39 3.83
11 35 5.19
11 31 11.33
12 35 3.74
12 31 13.20
13 15 1.76
14 15 1.30
15 16 5.06
17 35 8.46
17 31 3.91
18 31 8.66
19 20 1.95
20 35 7.74
20 21 1.57
20 31 15.07
22 25 5.00
22 31 5.00
23 26 1.00
24 26 3.25
25 35 5.46
25 31 15.66
26 35 6.89
26 47 4.43
27 35 4.66
27 28 1.58
27 29 1.79
27 30 2.56
27 31 14.45
31 32 1.00
31 34 10.82
31 37 1.87
31 39 6.72
31 40 7.54
31 43 3.17
31 35 10.24
31 49 16.14
31 38 4.19
33 40 2.04
34 35 2.51
35 40 3.37
35 43 7.25
35 44 3.31
35 48 9.69
35 49 14.62
36 46 1.13
38 44 10.02
41 50 1.00
42 50 1.00
44 45 1.00
48 49 4.93
49 50 1.00
