33 48
0 1 1.00
0 2 4.37
0 5 2.42
1 16 9.38
1 19 8.96
2 24 7.76
2 19 6.14
3 20 1.00
3 14 1.79
4 16 7.16
4 13 10.25
5 8 9.65
5 18 9.46
5 7 4.49
6 7 1.75
8 25 11.21
8 9 6.68
9 17 8.42
10 13 1.16
11 32 1.70
11 19 2.75
11 12 2.46
12 14 2.81
13 16 3.26
13 19 4.59
13 15 3.36
14 19 4.76
14 20 2.60
14 21 4.80
14 22 3.96
15 32 2.82
15 22 6.15
15 31 1.68
16 30 5.80
17 18 7.89
19 20 5.46
19 23 17.79
19 24 13.35
20 21 5.35
21 26 6.95
21 27 23.78
21 22 5.16
22 28 15.79
22 31 5.90
24 25 10.33
28 29 7.56
29 30 5.09
30 31 4.14
