51 50
0 46 3.05
1 22 11.41
1 46 4.21
1 7 25.55
2 42 4.55
2 3 8.21
2 29 5.08
4 5 5.00
4 7 5.00
6 8 37.00
6 22 2.61
6 47 5.00
7 43 3.90
8 48 5.00
9 21 1.94
10 37 5.00
10 23 5.00
11 20 5.00
12 19 5.00
13 37 32.16
13 31 8.58
17 18 5.00
18 19 5.00
19 24 5.00
19 20 5.00
21 36 3.96
22 45 6.99
23 37 5.00
23 40 5.00
23 24 5.00
23 29 5.00
23 31 5.00
25 26 5.00
25 28 5.00
27 28 5.00
27 30 5.00
29 41 5.36
29 50 7.35
29 46 25.13
30 37 13.35
33 40 5.00
33 34 5.00
33 35 5.00
34 35 4.51
35 36 10.95
41 50 5.10
41 47 5.00
43 44 4.26
46 48 5.00
49 50 9.37
