36 76
0 1 8.93
0 2 2.35
1 2 8.95
1 6 13.26
1 8 13.87
1 22 30.33
1 28 14.29
1 29 7.14
1 31 9.33
2 3 5.00
2 19 8.07
2 21 14.14
2 27 13.38
2 28 22.55
3 27 5.00
4 8 19.72
4 5 2.50
4 15 3.29
5 15 5.79
6 7 5.51
7 17 41.83
7 21 26.90
7 30 11.80
7 15 1.00
8 9 1.00
8 21 8.72
8 25 33.21
8 28 7.33
9 25 33.10
9 28 7.55
10 11 1.00
10 12 4.73
10 13 4.74
10 14 5.00
10 17 16.97
10 25 34.04
10 27 26.24
11 16 4.93
11 17 17.19
11 12 4.59
11 13 4.88
13 16 1.00
13 22 14.37
13 23 13.12
13 24 19.79
13 25 29.44
13 27 22.80
13 28 58.52
14 16 5.00
15 28 16.86
15 29 9.56
16 17 14.35
16 23 13.08
17 22 1.00
17 27 9.95
17 28 44.51
18 25 5.44
18 27 10.96
18 20 19.87
19 20 7.62
20 21 2.60
22 33 8.57
22 23 14.18
22 27 9.95
23 24 10.06
23 25 16.91
24 25 19.08
25 28 39.02
26 27 5.00
26 35 5.00
27 33 9.93
27 35 3.95
30 31 4.30
32 33 5.17
32 34 7.32
34 35 2.15
