52 63
0 48 1.52
0 17 1.00
0 3 1.00
0 11 1.00
0 49 1.24
1 11 1.00
2 51 1.00
2 20 1.00
3 25 1.00
3 38 1.00
3 48 1.45
4 7 1.00
5 26 1.00
5 6 1.00
5 7 1.15
6 9 1.18
6 11 1.09
6 7 1.00
7 32 1.26
7 8 1.00
7 9 2.10
7 13 5.00
7 48 2.79
7 19 1.00
7 20 1.16
7 21 5.00
7 23 1.47
7 27 1.00
9 12 5.00
9 36 1.00
9 37 1.00
10 49 1.00
11 36 1.51
14 48 1.00
15 48 1.85
15 44 1.00
15 45 1.00
16 44 1.52
16 46 1.00
16 47 1.00
18 36 1.00
20 30 1.03
22 48 2.07
24 49 1.00
28 51 1.00
29 48 5.00
31 51 1.00
33 48 1.00
34 51 1.00
35 48 5.00
39 48 1.00
40 48 1.15
41 48 1.33
42 48 5.00
43 48 5.00
45 48 1.26
45 51 1.76
46 47 1.00
47 48 1.04
47 49 1.10
48 49 1.32
48 50 1.00
48 51 1.86
