41 58
0 6 5.09
0 7 5.78
1 32 21.51
1 3 6.53
2 24 11.26
2 32 16.68
3 32 15.43
4 8 7.14
4 7 6.82
5 21 28.01
6 7 7.59
7 8 1.58
7 9 7.72
7 24 12.55
7 25 8.49
7 29 18.18
9 26 3.22
10 21 5.00
11 21 5.00
12 27 8.48
12 28 11.57
12 13 3.97
13 21 1.62
14 15 5.34
15 16 7.65
15 17 4.18
15 21 9.41
15 29 17.83
18 21 5.00
19 21 5.00
20 24 4.80
20 28 2.14
21 34 38.46
21 39 6.22
21 40 6.03
21 22 3.98
21 23 18.73
21 24 15.82
21 28 13.47
21 37 13.68
21 31 9.33
23 29 9.10
24 32 9.05
24 25 4.40
24 28 6.88
24 31 7.02
26 29 9.17
27 28 7.08
28 29 4.06
29 30 2.45
32 37 18.38
33 37 31.77
33 38 25.04
35 36 2.88
35 37 10.49
36 37 7.62
37 38 7.87
39 40 5.04
