42 66
0 16 18.77
0 3 16.46
0 39 38.46
1 18 7.62
1 39 17.75
2 33 16.16
4 8 10.98
5 38 6.60
6 18 7.76
6 39 6.03
7 39 3.98
8 38 14.44
8 39 16.02
8 9 1.21
8 11 5.00
8 16 24.87
8 18 18.28
8 23 30.05
8 24 2.45
8 25 10.35
8 26 6.03
8 27 4.06
8 28 18.18
8 31 9.10
9 27 2.90
10 39 5.00
12 28 7.59
13 25 4.40
14 16 7.84
14 28 11.45
15 16 4.03
15 28 14.68
16 27 21.06
16 28 18.56
17 28 16.35
18 32 10.49
18 33 31.77
18 41 7.87
18 39 13.68
18 40 11.51
18 25 9.70
18 27 14.23
18 28 19.62
19 39 9.33
20 23 5.00
21 28 5.00
22 25 18.54
22 28 6.82
23 28 22.27
23 39 27.07
25 39 15.82
25 27 6.88
27 39 13.47
27 30 10.04
28 38 27.30
28 39 28.36
28 29 7.72
32 39 19.90
33 39 36.19
34 39 15.86
35 39 12.90
36 39 9.41
37 38 5.75
38 39 1.62
39 41 13.30
39 40 6.22
