197 243
0 176 5.00
0 9 3.84
1 8 12.07
1 176 5.00
1 114 2.85
1 116 3.06
1 175 5.00
2 76 2.39
2 77 1.00
3 4 1.41
3 77 1.07
4 6 2.86
4 135 2.46
5 131 3.91
5 6 2.26
6 7 5.34
7 8 1.00
7 174 5.00
8 194 1.83
8 9 2.42
8 191 15.07
10 11 7.19
10 13 2.01
11 16 5.65
12 32 3.36
12 13 1.76
12 30 3.20
13 16 7.43
13 15 6.28
14 64 5.26
14 129 13.38
14 15 5.81
16 17 2.97
18 19 3.74
18 30 2.58
19 89 4.41
19 68 4.74
19 82 5.19
20 21 2.25
20 23 1.57
21 26 1.12
22 188 1.81
22 23 3.93
24 27 2.37
25 171 5.00
25 55 4.54
26 27 1.45
26 28 4.88
26 29 1.16
28 51 4.78
28 54 1.32
29 78 3.05
30 35 4.06
31 37 5.25
32 33 1.28
32 37 2.34
34 37 4.29
35 37 3.05
36 38 9.20
36 39 5.37
37 160 2.77
37 38 4.18
38 196 6.28
39 181 11.99
40 41 6.25
40 42 7.25
41 43 7.69
41 189 5.94
42 43 1.00
42 143 4.33
44 45 1.96
44 47 2.21
45 48 1.55
45 164 3.14
46 49 4.43
46 47 1.00
48 155 75.29
48 181 74.47
49 177 4.01
49 147 5.00
49 165 3.93
50 57 2.83
50 51 2.64
51 188 1.60
52 53 1.03
52 55 1.88
53 58 3.55
54 55 4.54
56 57 2.82
56 59 2.36
58 59 1.34
60 61 1.78
60 69 3.54
61 128 12.12
61 122 3.53
62 144 5.00
62 86 11.61
62 63 3.91
63 68 4.76
63 149 5.00
64 65 2.36
64 67 5.73
64 68 8.23
65 66 4.58
66 67 1.00
67 69 5.44
69 144 5.00
70 79 1.39
70 183 3.07
71 72 1.45
71 79 2.40
72 73 2.35
73 74 1.64
74 183 1.68
75 173 5.00
75 183 1.96
76 173 5.00
77 152 94.98
77 162 2.73
77 133 2.75
78 94 3.16
78 79 3.10
80 81 1.00
80 86 4.95
80 87 4.93
82 88 6.88
82 83 5.46
82 150 5.00
83 148 5.00
84 148 5.00
84 85 1.64
86 87 1.87
87 88 3.02
89 150 5.00
90 172 5.00
91 99 1.80
91 92 1.41
92 96 4.14
92 93 2.62
92 183 5.90
94 171 5.00
95 96 1.90
95 171 5.00
96 97 21.85
97 172 5.00
98 194 2.79
98 131 1.76
99 100 1.94
100 132 1.05
101 104 7.46
101 180 5.52
101 102 1.00
102 109 2.04
103 104 1.00
103 106 1.00
105 106 1.65
105 107 12.85
105 179 11.67
107 108 7.14
107 129 8.95
108 179 8.32
109 110 7.21
110 128 8.34
111 112 2.72
111 140 1.00
112 137 6.02
113 114 3.55
113 191 6.64
115 116 1.40
115 118 1.00
117 120 1.94
117 118 1.31
119 176 5.00
119 175 5.00
120 175 5.00
121 122 2.89
121 124 3.26
123 124 8.45
123 125 2.77
123 126 4.61
127 128 5.55
127 130 6.71
129 130 1.52
131 142 2.48
132 135 1.12
133 173 5.00
134 137 1.79
134 138 3.67
134 135 3.26
136 139 1.75
137 172 5.00
138 174 5.00
138 141 1.96
139 174 5.00
140 141 1.22
142 143 3.82
143 185 1.43
144 149 5.00
145 157 1.00
146 152 2.16
146 154 1.00
147 166 5.00
147 177 5.00
148 154 5.00
149 150 5.00
151 152 1.82
152 153 2.26
153 160 3.96
153 154 2.31
154 159 1.00
154 183 92.48
155 195 76.57
155 156 1.00
155 165 78.97
156 157 2.95
157 158 1.00
158 183 87.56
158 196 3.25
158 165 83.55
161 162 1.00
162 163 2.73
162 167 1.00
163 187 1.99
163 164 4.88
165 177 6.95
165 181 78.33
165 184 3.65
165 186 4.80
166 170 5.28
166 183 5.41
167 168 1.00
168 169 1.00
169 185 2.21
178 179 3.50
181 196 4.77
182 189 1.23
183 184 3.07
183 186 3.96
186 187 1.00
190 191 6.16
192 193 3.76
193 194 3.87
195 196 78.90
