153 177
0 1 5.69
0 10 2.32
0 99 1.62
2 144 2.90
2 51 2.29
3 144 1.00
4 8 3.45
4 5 1.51
5 144 2.48
5 11 1.76
6 11 5.88
6 7 3.76
7 144 7.75
8 13 2.26
9 13 1.00
10 97 2.17
10 98 1.00
10 101 3.21
10 11 3.79
10 13 5.34
12 141 1.07
12 30 1.00
13 119 2.86
14 17 1.00
14 141 2.29
15 18 1.44
15 19 1.00
15 132 1.00
16 51 1.99
16 60 5.00
17 136 1.00
17 134 1.00
17 133 1.00
17 143 2.73
18 142 1.00
19 49 1.00
20 23 1.00
21 81 8.05
22 23 4.11
23 151 7.53
24 81 5.29
25 81 5.61
26 81 6.40
27 81 6.17
28 140 2.46
28 29 18.55
30 118 1.00
30 119 1.00
31 119 1.00
32 33 1.00
32 35 1.00
33 74 1.00
33 38 1.00
34 119 1.00
35 74 1.00
36 73 5.00
36 39 1.00
37 73 5.00
38 74 1.00
39 124 1.00
40 142 1.00
41 142 1.34
42 142 1.00
43 142 1.00
44 142 1.00
45 49 1.00
46 142 2.81
47 142 1.00
48 49 1.00
49 129 1.00
50 56 7.84
50 58 3.43
50 51 4.33
50 52 1.00
50 53 2.34
51 136 4.63
51 53 4.35
51 92 3.28
51 127 1.43
53 92 1.31
54 139 7.77
54 140 2.69
54 55 1.00
55 140 2.62
56 57 5.94
56 59 6.25
58 59 3.83
60 128 5.00
60 144 5.00
61 81 7.15
62 115 5.00
62 140 5.00
62 94 5.00
63 125 1.00
63 126 1.89
64 72 1.00
64 126 1.00
65 152 1.00
66 152 1.79
66 68 2.97
67 152 3.47
68 81 3.47
68 108 1.22
69 152 4.65
70 152 1.74
71 152 1.00
72 152 1.00
73 120 5.00
73 117 5.00
74 117 1.12
74 125 1.00
75 140 6.95
75 150 4.90
76 140 3.93
76 77 1.72
77 150 1.83
78 115 1.00
78 94 1.00
78 142 1.00
79 137 5.00
79 122 5.00
79 84 5.00
80 137 4.54
80 151 4.54
81 107 5.92
81 93 2.83
82 123 4.14
82 138 4.04
82 83 2.38
82 84 1.88
85 123 1.41
86 121 4.14
86 122 3.16
86 151 8.31
87 152 1.00
88 152 1.00
89 152 1.34
90 138 1.14
91 140 1.00
91 150 1.68
95 107 1.00
96 152 3.58
97 100 1.50
98 101 2.42
99 102 2.06
101 104 9.65
103 152 2.46
105 106 1.00
105 108 1.00
106 152 2.12
107 111 1.04
109 112 1.00
109 152 1.00
110 152 1.00
111 112 1.00
113 152 5.37
114 152 2.75
115 139 3.07
116 142 1.14
117 118 1.70
118 139 5.96
121 148 1.45
123 145 2.62
123 139 5.90
123 124 1.68
129 131 1.00
130 143 1.00
131 143 1.00
132 143 1.00
134 135 1.00
135 136 1.00
138 152 1.88
139 146 3.07
139 149 1.68
140 142 4.80
146 147 1.39
148 149 3.81
