70 85
0 1 5.00
0 27 5.00
1 34 5.00
1 37 5.00
1 6 5.00
1 7 5.00
2 9 5.00
2 3 6.79
2 61 5.26
3 27 5.00
3 34 5.00
4 5 8.52
4 7 5.00
5 57 10.91
5 10 1.15
5 11 12.79
6 38 5.00
8 48 5.00
8 50 5.00
8 54 5.00
9 27 5.00
9 46 5.00
11 53 3.49
12 66 22.84
12 15 5.00
13 29 5.00
13 14 5.00
13 31 5.00
15 26 5.00
16 17 5.00
16 55 4.78
17 58 5.00
18 19 1.38
18 47 5.00
19 20 1.31
20 21 1.49
20 47 5.00
21 22 5.00
22 24 5.00
22 54 5.00
22 23 5.00
24 25 5.00
25 53 2.16
26 31 5.00
28 65 5.00
28 66 5.00
28 67 5.00
29 67 5.00
29 46 5.00
30 59 5.00
30 45 5.00
31 49 5.00
31 44 5.00
32 59 5.00
32 44 5.00
33 49 5.00
33 42 5.00
33 45 5.00
35 51 5.00
35 52 5.00
35 53 5.00
36 37 5.00
38 41 5.00
38 42 5.00
39 40 5.00
39 55 5.00
40 41 5.00
43 46 5.00
44 59 5.00
44 45 5.00
45 49 5.00
47 48 5.00
48 57 5.45
50 57 5.00
50 54 5.00
55 56 5.00
56 57 5.00
58 59 5.00
60 68 5.00
60 69 5.00
61 69 5.00
62 63 5.00
63 64 5.00
63 65 5.00
67 68 5.00
