51 52
0 1 5.00
0 43 5.00
0 4 5.00
0 6 5.00
0 7 5.00
2 42 5.00
2 46 5.00
3 46 5.00
5 32 5.00
5 33 5.00
5 35 5.00
5 36 5.00
5 37 5.00
5 38 5.00
5 39 5.00
5 8 5.00
5 9 5.00
5 45 5.00
5 40 5.00
10 43 5.00
11 31 5.00
12 31 5.00
13 24 5.00
13 31 5.00
14 23 5.00
14 31 5.00
15 26 5.00
15 31 5.00
16 31 5.00
17 31 5.00
18 31 5.00
19 31 5.00
20 31 5.00
21 28 5.00
22 28 5.00
25 44 5.00
27 28 5.00
28 45 5.00
28 29 5.00
28 30 5.00
31 34 5.00
31 45 5.00
41 42 5.00
41 47 5.00
43 44 5.00
43 45 5.00
43 46 5.00
44 45 5.00
44 47 5.00
45 48 5.00
47 50 5.00
49 50 5.00
