39 62
0 8 7.34
0 1 3.36
0 3 2.46
0 6 3.26
0 7 12.54
1 8 6.15
1 6 3.75
2 29 3.21
2 30 8.42
4 8 15.79
4 5 7.53
4 7 7.56
6 8 9.59
8 9 5.16
8 21 7.18
8 24 6.46
8 25 92.79
9 20 83.55
9 21 9.56
9 24 5.35
9 25 88.76
9 28 7.20
10 16 197.83
10 17 43.06
11 19 10.54
11 20 17.19
11 15 44.60
12 25 1.00
12 20 4.93
12 13 22.33
12 14 55.38
14 16 65.84
14 17 174.79
14 18 211.85
14 15 7.73
15 16 73.21
15 25 57.97
15 20 61.79
16 20 53.45
17 18 38.81
18 21 153.98
19 20 8.33
20 36 95.68
20 21 93.04
20 23 92.49
20 28 90.45
21 34 30.31
21 24 5.46
21 25 98.23
23 25 97.64
24 26 5.49
24 28 2.73
25 36 100.84
25 28 95.64
26 32 12.16
26 31 4.33
29 37 3.79
29 30 5.34
31 32 7.84
33 35 7.75
33 38 11.44
37 38 3.77
