58 87
0 1 1.02
0 3 1.00
1 53 3.26
1 6 1.07
1 15 5.00
2 56 1.00
2 49 1.00
3 52 2.35
3 53 3.80
4 51 1.00
4 5 1.00
5 10 1.00
6 7 1.00
7 53 1.83
8 51 5.00
9 51 5.00
10 51 1.88
10 11 1.00
10 36 1.02
11 43 2.87
12 52 5.00
13 52 5.00
14 24 1.00
14 50 1.35
14 27 1.00
16 50 1.41
16 23 1.00
17 25 1.00
17 50 1.50
17 31 1.43
18 19 1.00
18 38 1.00
19 51 2.29
19 20 1.00
20 46 1.08
21 22 1.00
21 23 1.13
22 51 1.00
23 24 1.02
25 27 2.09
26 50 5.00
27 44 1.06
28 51 2.34
28 36 1.00
29 51 5.00
30 48 3.82
30 31 1.00
32 33 1.99
32 50 3.28
33 50 3.74
33 37 1.22
34 35 1.17
34 52 1.48
35 50 1.00
36 51 1.50
37 52 2.86
38 39 1.00
39 44 1.00
40 41 1.57
40 43 1.00
41 53 1.53
42 43 1.00
42 53 2.04
43 51 4.49
44 50 3.19
44 45 1.10
45 46 1.00
46 51 2.97
47 51 1.45
47 53 1.20
48 56 1.00
48 49 1.00
48 52 1.00
48 57 1.00
50 51 3.92
50 52 3.39
50 53 4.83
50 55 4.91
51 52 5.95
51 53 2.65
52 53 5.16
52 54 4.37
52 55 1.51
52 56 1.00
53 54 1.00
55 56 1.20
56 57 1.00
