193 151
1 115 1.00
1 171 5.00
2 4 1.00
2 171 5.00
2 164 1.00
4 5 1.00
6 171 5.00
6 7 5.00
10 11 1.00
10 31 1.00
11 89 1.00
19 84 1.00
19 85 1.00
20 26 1.00
20 23 1.00
22 29 1.00
23 131 1.00
25 100 1.00
25 94 1.00
26 27 1.00
26 28 1.00
27 100 1.00
28 58 1.00
29 67 1.00
29 68 1.00
30 31 1.00
31 34 1.00
31 38 1.00
33 38 1.00
36 150 5.00
36 39 5.00
37 160 1.00
37 149 1.00
38 138 1.00
40 41 1.00
40 42 1.00
41 46 1.00
42 178 1.00
42 146 5.00
44 159 1.00
44 45 1.00
44 47 1.00
45 49 1.00
46 172 5.00
49 172 5.00
50 56 1.00
50 51 1.00
50 183 1.00
53 169 5.00
53 58 1.00
55 58 1.00
56 59 1.00
57 169 5.00
59 169 5.00
60 168 5.00
61 168 5.00
61 122 1.00
62 80 1.00
62 64 1.00
62 88 1.00
62 145 5.00
63 64 1.00
63 79 1.00
65 145 5.00
66 80 1.00
66 103 1.00
67 68 1.00
67 69 1.00
67 70 1.00
67 79 1.00
67 145 5.00
69 168 5.00
70 144 5.00
71 72 1.00
71 144 5.00
72 73 1.00
73 132 1.00
78 94 5.00
79 144 5.00
82 88 1.00
82 89 1.00
82 83 1.00
82 84 1.00
83 104 1.00
83 84 1.00
87 88 1.00
90 95 1.00
90 93 1.00
90 167 5.00
91 170 5.00
91 167 5.00
93 170 5.00
94 95 1.00
97 167 5.00
98 152 1.00
98 143 1.00
101 151 1.00
103 110 1.00
104 109 1.00
106 108 1.00
106 167 5.00
108 109 1.00
110 170 5.00
112 121 1.00
112 138 1.00
114 115 1.00
115 117 1.00
117 121 1.00
122 125 1.00
124 125 1.00
124 126 1.00
124 127 1.00
126 129 1.00
128 129 1.00
128 131 1.00
132 135 1.00
134 137 1.00
134 135 1.00
137 187 1.00
138 139 1.00
139 187 1.00
143 179 1.00
143 186 1.00
146 152 5.00
146 177 5.00
146 151 5.00
147 148 1.00
147 149 1.00
148 153 1.00
149 173 5.00
150 173 5.00
151 152 1.00
151 192 1.00
152 153 1.00
153 154 1.00
155 156 1.00
155 173 5.00
156 159 1.00
158 164 5.00
160 161 1.00
161 165 1.00
163 164 1.00
164 172 5.00
177 178 1.00
179 180 1.00
180 181 1.00
181 183 1.00
186 187 1.00
187 190 1.00
190 191 1.00
191 192 1.00
