68 79
0 3 5.55
0 11 31.12
0 62 23.28
1 33 5.00
1 34 5.00
1 6 1.00
1 7 5.00
2 58 8.95
2 3 8.07
2 6 22.13
3 64 5.00
3 8 5.00
3 27 5.00
3 29 5.00
4 5 5.00
4 7 5.00
5 6 5.00
6 35 5.00
6 10 9.55
6 50 23.77
6 18 5.00
6 51 14.35
6 58 30.33
8 26 5.00
8 29 5.00
9 29 5.00
10 11 5.19
11 51 13.08
11 50 9.69
11 55 5.00
12 61 5.00
13 61 5.00
14 62 5.00
15 62 5.00
16 17 5.00
16 25 5.00
17 39 5.00
18 51 5.00
18 52 5.00
19 51 5.00
20 51 5.00
21 51 5.00
22 52 5.00
23 52 5.00
24 52 5.00
25 62 5.00
28 52 5.00
30 67 5.00
31 67 5.00
32 51 5.00
33 52 5.00
36 50 5.00
37 50 5.00
38 41 5.00
38 39 5.00
40 41 5.00
40 61 5.00
42 61 5.00
43 61 5.00
44 61 5.00
45 61 15.71
46 51 5.00
47 51 5.00
48 50 5.00
49 50 5.00
51 54 5.00
51 52 4.93
51 53 5.00
52 57 5.00
56 65 5.00
56 60 5.00
58 60 16.89
59 60 5.00
60 66 5.00
60 61 17.08
60 62 17.08
60 63 5.00
61 62 1.00
62 67 10.23
