62 62
0 55 3.20
1 55 3.72
2 3 1.00
3 53 1.00
3 55 1.91
4 7 5.00
5 7 3.24
6 7 3.95
7 32 5.00
7 33 2.64
7 35 1.00
7 41 4.67
7 10 4.31
7 11 6.51
7 45 1.83
7 46 2.31
7 47 3.50
7 16 2.27
7 17 1.00
7 51 1.93
7 43 4.82
7 55 4.55
7 24 3.20
7 25 5.37
7 27 3.24
7 23 1.00
8 33 1.34
9 33 3.42
12 33 1.00
13 33 1.00
14 41 1.20
15 41 1.00
18 43 1.00
19 43 1.00
20 42 1.00
20 21 1.00
20 22 1.00
26 41 1.51
27 36 1.00
27 37 1.00
27 38 1.46
27 39 1.00
28 33 1.66
29 41 1.29
30 41 1.00
31 33 1.64
32 55 5.00
34 35 1.17
40 41 1.20
42 43 1.00
43 48 1.56
44 51 1.00
49 51 1.00
50 51 1.00
52 55 1.00
54 55 1.07
55 56 1.00
55 57 1.16
55 58 1.95
55 59 1.00
55 60 1.57
55 61 1.00
