40 61
0 1 2.60
0 2 9.31
0 4 5.46
0 34 5.35
0 30 19.20
1 33 11.63
2 32 31.56
2 35 10.78
2 4 10.06
2 38 12.55
2 36 7.84
2 31 23.41
3 10 5.00
3 19 5.00
3 4 9.45
3 5 4.71
3 30 8.00
4 5 6.14
4 6 2.87
4 8 5.46
4 16 38.91
4 17 44.81
4 29 8.96
4 31 30.31
5 23 4.37
6 7 4.31
7 8 6.53
7 25 15.79
7 34 5.16
8 9 3.19
8 25 17.28
9 25 17.82
9 18 17.25
9 29 9.38
9 15 21.92
11 13 5.00
12 22 9.46
12 20 2.60
12 13 4.44
12 14 15.81
12 15 7.89
13 14 14.14
13 22 9.65
15 29 19.24
16 34 48.27
17 30 41.09
21 27 6.86
22 26 4.79
22 27 4.49
22 23 2.42
23 29 1.00
24 25 7.53
24 34 23.78
27 28 1.75
28 29 4.18
30 39 3.42
32 34 28.31
33 34 6.95
35 36 7.94
36 37 3.98
38 39 4.19
