61 75
0 35 5.00
1 4 1.00
2 35 5.00
3 37 5.00
4 10 6.17
4 7 2.64
4 55 6.17
5 55 5.00
6 45 1.00
6 55 1.36
8 22 1.00
9 58 1.00
10 55 1.00
10 44 1.00
10 45 1.36
10 21 8.05
11 55 2.01
12 20 1.00
13 29 5.00
14 34 1.67
14 35 3.01
14 46 3.00
14 49 8.78
14 55 4.55
14 57 1.00
14 26 1.00
14 29 1.22
15 35 1.00
15 53 1.22
15 37 1.00
16 34 5.00
17 56 5.37
17 34 2.25
18 41 1.00
18 49 3.31
18 43 1.32
18 21 5.66
18 55 2.83
19 21 1.30
20 21 3.38
21 22 2.50
21 23 5.00
24 37 5.00
25 37 5.00
27 55 5.00
28 55 1.21
29 59 1.03
29 30 1.00
31 33 1.00
31 34 1.00
32 49 1.59
34 35 3.15
34 36 1.40
35 37 1.00
35 52 5.00
35 56 1.00
36 37 2.46
37 38 1.00
37 39 1.79
37 40 1.88
37 51 5.00
37 55 7.16
37 56 1.00
37 58 1.00
38 56 1.00
39 59 2.10
40 59 3.94
40 54 5.00
42 49 1.53
44 55 1.00
46 60 1.08
47 49 1.00
48 49 2.10
49 50 1.73
55 59 3.97
