67 95
0 65 13.70
0 3 3.09
1 3 9.94
2 58 4.51
2 66 6.05
4 48 5.00
4 33 5.00
4 7 5.00
5 6 7.23
5 7 11.26
6 33 5.00
8 9 5.00
8 26 5.64
8 43 3.78
8 63 5.00
9 26 5.00
9 12 5.00
9 63 5.00
10 64 52.87
10 33 5.00
10 39 32.87
10 11 6.54
10 48 5.00
10 59 46.48
11 50 2.28
12 34 5.00
12 13 5.00
12 14 5.00
13 28 5.00
13 30 5.00
14 16 6.62
15 29 5.00
15 38 5.00
16 17 5.00
16 23 5.00
17 34 5.00
17 38 5.00
18 19 5.00
19 20 5.00
19 34 5.00
19 46 11.96
19 37 5.00
20 22 5.00
21 34 5.00
21 22 10.88
23 24 5.00
24 25 5.00
25 36 5.00
26 27 3.31
26 63 5.00
28 43 5.00
29 34 5.00
29 43 5.00
29 30 5.00
30 44 5.00
31 51 5.00
31 52 5.00
31 53 5.00
32 52 5.00
32 53 5.00
34 37 5.00
35 36 6.74
37 38 5.00
37 45 5.00
37 46 5.00
38 46 5.00
39 56 5.00
39 51 5.00
39 42 5.00
39 46 5.92
40 41 5.00
41 42 5.00
42 43 5.00
42 46 5.00
43 44 5.00
43 63 5.00
45 46 5.00
46 53 21.40
47 49 3.03
47 54 3.02
48 49 5.00
48 53 5.00
49 50 1.57
51 56 5.00
52 56 5.00
53 54 4.16
55 62 1.00
57 58 5.03
57 66 5.68
59 61 49.64
60 61 1.90
61 62 23.49
62 64 33.45
64 65 1.00
65 66 10.18
