149 193
0 14 5.00
1 17 5.00
2 128 7.84
2 3 4.33
3 125 5.88
4 16 5.00
4 5 1.00
5 6 1.46
6 7 1.00
7 8 1.00
8 9 1.61
9 14 5.00
10 16 5.00
10 46 1.00
11 98 5.00
11 100 5.00
11 95 5.00
12 117 5.00
13 147 5.00
14 94 5.00
15 131 5.00
15 125 5.00
16 95 5.00
17 132 5.00
17 94 5.00
18 41 1.11
18 103 1.00
19 59 2.17
19 142 1.00
20 80 2.59
20 133 3.65
20 134 4.20
20 141 2.98
20 144 4.92
20 81 2.44
21 26 1.17
21 23 1.55
22 142 1.19
22 23 1.92
24 81 1.35
24 27 1.00
24 25 1.63
25 89 1.00
25 50 1.13
26 27 1.28
27 144 5.67
28 142 1.00
28 54 1.26
29 51 2.05
29 139 1.81
29 142 1.00
30 126 5.00
31 72 1.00
31 62 1.00
32 129 1.00
32 35 1.00
33 129 1.00
33 61 1.00
34 72 1.00
34 73 1.00
35 73 1.00
36 75 1.00
36 39 1.00
37 122 1.00
37 75 1.00
38 76 1.10
38 77 1.24
39 70 1.26
40 64 6.23
40 65 5.90
40 66 6.93
40 63 6.55
41 98 2.64
41 101 2.29
41 104 2.64
41 105 1.39
41 106 1.78
41 44 5.90
41 47 7.13
42 43 7.50
42 148 2.30
43 137 4.55
44 48 3.92
44 45 7.93
45 48 4.19
45 128 5.68
49 128 5.94
49 127 4.46
50 57 1.00
51 117 2.13
51 140 2.14
51 87 1.43
52 143 1.45
52 53 2.91
52 55 1.28
53 58 2.23
54 55 2.14
56 57 1.32
56 59 1.42
58 142 3.06
58 117 1.84
60 130 1.30
61 130 1.00
61 62 1.16
62 131 1.00
64 65 2.93
64 126 9.69
66 102 2.20
67 107 1.15
67 102 1.09
68 130 2.46
68 83 1.00
69 130 1.21
70 120 2.79
70 125 6.14
70 118 1.86
70 77 1.52
71 88 1.72
71 129 1.41
72 123 2.99
74 112 1.67
74 145 1.82
76 122 1.00
77 116 2.70
78 129 1.00
78 85 1.00
79 80 1.00
79 81 1.00
79 86 1.00
81 82 1.00
82 85 1.00
83 130 2.54
83 84 2.88
84 130 4.68
86 129 1.46
87 112 1.78
87 145 3.10
87 117 1.31
88 89 1.00
90 140 1.07
90 111 1.00
91 92 1.32
91 109 1.21
92 94 1.04
93 96 1.00
93 100 1.00
93 94 1.46
94 99 1.35
95 96 1.79
97 100 1.00
97 103 1.00
99 103 1.14
101 102 2.10
103 106 1.00
105 108 1.04
107 108 1.51
107 110 1.01
109 110 1.31
110 121 1.00
111 112 1.00
112 145 3.19
112 135 3.78
113 120 1.00
113 116 1.18
114 120 1.00
114 130 1.17
114 115 1.00
115 116 1.23
116 121 1.00
118 119 1.41
119 120 1.16
120 130 1.83
123 131 4.18
123 124 1.75
124 131 4.02
124 141 4.32
125 132 6.35
125 131 8.96
126 127 9.50
130 131 1.00
133 148 1.17
133 141 3.94
134 141 2.59
135 136 2.28
135 146 2.65
136 147 7.81
137 138 1.31
138 140 2.28
139 144 1.98
140 144 1.98
144 148 2.60
145 146 1.00
146 147 5.28
