55 81
0 25 6.45
0 3 3.13
0 12 3.36
1 3 15.79
1 46 4.95
2 25 13.92
2 3 5.46
2 45 16.91
2 46 10.06
4 9 6.28
4 5 4.18
4 7 1.51
5 6 7.44
5 31 2.77
6 48 22.13
6 13 17.19
6 54 19.37
6 31 9.89
7 8 7.55
8 9 4.77
8 37 3.37
9 13 3.25
9 38 3.35
10 16 5.00
10 19 5.00
10 11 5.00
11 19 5.00
11 14 5.00
12 26 2.31
13 34 1.94
13 38 4.59
13 39 1.00
13 50 59.04
13 29 1.00
14 15 2.73
14 23 2.60
15 28 2.73
16 24 4.38
16 17 1.00
16 35 3.27
17 18 3.61
18 19 1.00
18 20 1.00
19 20 1.00
20 21 4.13
21 22 2.51
21 23 1.74
22 30 5.95
24 41 61.71
24 36 1.23
25 33 1.00
25 26 1.00
25 31 4.74
26 33 1.00
27 28 1.07
27 30 1.70
29 40 1.00
29 32 5.09
29 34 1.82
31 32 3.97
32 33 1.00
32 34 3.35
35 41 62.57
35 36 2.09
37 44 3.53
38 39 3.78
38 41 9.82
39 40 1.00
41 42 1.26
42 43 2.18
43 44 4.54
45 53 24.49
45 54 5.44
47 48 24.62
47 49 16.40
48 49 22.87
49 50 8.39
50 51 2.69
50 52 5.52
50 53 8.61
51 53 7.21
