113 161
0 64 4.95
0 1 1.02
0 9 1.08
0 8 2.12
0 63 1.87
1 65 1.57
2 55 2.30
2 87 1.82
3 88 3.33
3 4 2.40
3 45 1.91
3 86 5.00
3 47 5.52
4 86 5.00
4 5 1.41
4 6 1.44
4 7 1.01
5 46 3.39
6 80 1.00
6 81 3.03
6 62 2.08
7 8 1.00
8 86 5.00
8 63 1.55
9 63 1.01
10 16 1.60
10 104 1.67
10 11 1.00
10 13 1.00
11 16 1.48
11 104 1.28
11 13 1.00
12 19 1.00
12 13 1.21
14 17 1.00
14 84 5.00
15 97 5.00
15 47 1.20
16 104 1.08
17 43 1.00
18 19 1.18
18 35 2.53
19 104 3.13
19 36 2.75
19 37 1.24
20 21 2.29
20 22 2.74
20 23 1.39
21 26 1.77
22 83 1.91
23 105 2.94
24 25 3.91
24 27 1.76
24 95 1.57
25 89 2.09
25 26 1.00
25 28 4.10
25 92 4.76
27 83 1.30
28 29 1.00
29 92 3.14
30 103 5.00
30 36 1.58
30 77 2.11
30 31 1.48
31 112 5.00
31 36 2.51
31 37 1.88
32 33 2.99
32 34 2.31
33 38 1.82
34 35 1.96
36 37 1.88
38 39 1.00
40 41 1.00
40 49 1.21
41 42 1.00
42 43 1.00
43 45 2.73
44 47 5.92
46 47 1.85
47 73 1.44
47 51 2.51
47 84 5.00
47 111 5.00
47 60 3.31
48 57 1.44
48 49 1.00
49 84 5.00
49 54 1.37
50 57 2.41
50 91 2.89
50 52 3.88
50 51 2.74
52 53 1.36
53 59 1.00
53 60 1.43
54 56 1.40
54 90 1.19
54 111 5.00
54 55 2.05
55 94 3.73
55 111 5.00
56 57 1.00
58 105 5.44
58 61 1.90
58 110 4.58
59 60 1.27
60 104 2.21
60 97 5.00
61 82 1.31
62 80 1.22
62 70 1.61
62 85 5.00
63 85 5.00
63 70 1.19
64 65 2.84
64 66 1.00
64 67 1.00
66 67 1.00
66 69 1.00
66 85 5.00
68 69 1.62
68 71 1.00
70 71 1.00
72 73 2.11
72 75 1.58
72 81 2.62
73 98 5.00
74 112 5.00
74 75 1.00
74 103 5.00
75 104 2.06
75 76 1.00
76 100 5.00
77 81 2.01
77 100 5.00
77 103 5.00
78 101 5.00
79 102 5.00
81 101 5.00
82 83 1.71
87 88 1.65
88 93 1.09
89 96 1.92
89 90 2.13
91 92 1.85
93 94 1.27
94 95 1.60
95 96 1.63
97 98 5.00
98 99 5.00
99 104 5.00
99 112 5.00
100 102 5.00
101 102 5.00
105 106 2.11
106 107 1.83
107 108 2.09
108 109 1.00
109 110 1.11
