37 65
0 6 1.00
0 30 1.00
1 6 1.00
1 30 1.00
2 6 14.52
2 30 14.34
3 6 1.00
3 30 1.00
4 6 1.00
5 6 1.00
5 30 1.00
6 7 1.00
6 8 1.00
6 9 3.89
6 34 5.95
6 21 5.96
6 24 164.18
6 28 12.53
6 29 1.00
6 30 1.00
7 34 5.99
7 30 1.00
7 13 5.00
8 30 1.00
9 33 1.39
9 34 2.09
9 30 3.71
10 30 5.00
11 34 5.00
12 34 5.00
14 19 5.00
15 19 5.00
16 24 5.00
17 30 5.00
18 24 5.00
18 25 5.00
18 23 5.00
19 24 28.79
19 25 61.54
19 23 5.25
20 34 7.25
20 27 12.70
20 21 7.24
21 32 3.55
21 34 1.00
21 35 2.15
21 36 4.20
21 22 1.00
21 30 5.78
22 34 1.00
23 24 23.54
23 25 57.70
24 34 169.16
24 25 43.87
24 26 44.21
25 26 1.00
25 30 125.23
28 30 12.63
29 30 1.00
30 34 5.77
30 33 2.95
30 31 3.67
31 32 1.00
34 35 2.15
34 36 4.21
