73 95
0 1 3.36
0 3 1.76
1 6 2.34
1 71 1.28
2 64 1.00
2 66 1.12
2 3 2.66
3 31 3.95
4 41 1.37
4 6 1.47
5 42 3.34
5 10 1.95
5 6 2.26
6 10 4.18
6 7 1.00
7 41 2.20
7 36 2.65
8 26 5.00
9 24 1.00
9 29 5.00
10 11 1.60
10 55 3.34
11 55 1.80
12 37 1.36
12 47 1.86
13 32 1.00
13 38 3.64
14 46 1.13
14 15 1.25
15 32 1.10
15 34 1.56
15 27 1.00
15 46 2.31
16 17 1.96
16 44 1.50
16 23 2.26
17 42 1.00
18 19 1.65
18 53 1.60
19 20 1.00
19 53 3.25
19 22 1.00
19 23 1.94
20 49 1.00
21 22 3.15
21 55 1.61
22 25 2.31
22 23 1.82
23 24 1.00
23 25 1.37
24 48 1.57
24 61 2.31
24 25 1.58
26 29 5.00
26 61 5.00
27 28 1.00
28 40 1.00
29 69 5.00
30 68 1.00
31 62 2.41
33 34 1.00
33 51 5.00
34 37 2.70
34 47 1.00
35 36 1.56
35 62 1.05
38 39 1.18
39 40 1.00
41 42 1.38
41 44 3.20
43 46 1.00
44 46 1.53
45 51 5.00
45 60 2.05
45 46 1.00
46 48 1.00
46 51 5.00
47 60 1.00
49 50 1.00
50 56 1.59
52 53 4.77
53 59 1.71
53 55 3.00
54 55 1.57
56 57 1.00
57 58 1.00
58 59 1.01
63 64 1.00
63 72 1.00
65 66 3.00
66 67 1.41
67 68 1.16
68 70 1.06
70 71 1.00
71 72 1.00
