66 77
0 11 5.00
0 50 5.00
0 3 1.00
0 6 10.70
1 3 10.70
1 6 1.00
1 7 10.99
1 45 181.10
1 18 110.59
1 19 179.46
1 20 117.30
1 21 32.35
1 61 17.43
2 61 5.00
3 5 8.97
3 10 7.00
3 48 5.00
3 61 9.80
4 7 1.00
4 6 10.99
4 22 5.00
4 23 5.00
5 49 5.00
6 10 3.71
6 46 5.00
6 51 5.00
6 52 5.00
6 60 17.43
8 45 5.00
9 45 5.00
10 53 5.00
10 54 5.00
10 47 5.00
12 19 5.00
13 19 5.00
14 19 5.00
15 19 5.00
16 17 5.00
16 18 38.81
16 59 58.56
16 38 5.00
16 25 162.83
18 40 5.00
18 37 5.00
18 39 5.00
19 43 5.00
19 45 7.38
19 20 125.23
19 25 129.48
19 28 5.00
19 29 5.00
19 30 5.00
20 42 5.00
20 44 5.00
20 41 5.00
24 25 88.76
24 34 5.00
24 45 54.78
25 32 5.00
25 33 5.00
25 45 131.33
25 31 5.00
26 45 5.00
27 45 5.00
35 45 5.00
36 45 5.00
45 62 5.00
55 60 5.00
56 59 5.00
57 61 5.00
58 59 1.00
58 61 32.01
59 64 5.00
59 65 5.00
59 60 32.01
60 61 1.00
60 63 5.00
