110 148
0 35 1.43
0 103 2.95
1 65 4.13
1 39 3.62
2 3 1.03
2 101 3.97
2 55 2.10
3 49 1.22
3 101 3.47
4 48 1.49
4 5 3.04
5 33 2.17
6 33 3.78
6 19 1.73
7 64 3.77
7 8 3.45
7 18 2.80
7 19 2.26
8 64 3.01
8 9 1.51
9 39 2.48
10 37 5.00
10 17 5.00
10 82 5.00
10 83 2.62
10 22 6.95
10 31 5.00
11 72 1.40
11 73 2.81
11 106 1.00
11 21 1.34
12 27 1.61
12 26 1.00
12 19 2.86
12 52 2.46
13 104 1.00
13 105 1.00
13 61 1.00
14 44 18.41
14 15 13.39
15 44 5.94
16 24 4.24
16 89 4.41
16 27 5.96
16 72 3.07
16 56 5.90
17 17 5.00
17 23 5.00
18 26 1.88
18 27 2.75
18 47 1.97
20 72 1.39
20 31 5.00
21 46 1.53
23 31 5.00
24 27 1.72
25 52 1.12
25 28 1.05
28 29 1.18
29 77 1.00
30 100 5.00
30 99 5.00
30 84 5.00
30 85 5.00
32 33 3.21
32 74 2.42
32 43 3.84
32 66 1.41
33 45 1.67
34 104 2.24
34 46 1.00
34 102 1.00
35 75 1.99
35 53 4.33
36 75 5.00
36 53 5.00
36 39 5.00
37 58 5.00
37 61 5.00
38 48 3.67
38 49 3.01
38 52 3.26
38 54 1.88
40 80 2.89
40 41 5.00
40 68 3.75
40 81 1.98
40 71 3.46
41 68 5.00
41 62 5.00
41 71 5.00
42 43 6.15
42 68 1.00
42 109 5.00
42 79 4.21
43 69 1.51
43 78 9.01
43 79 8.22
43 81 7.34
44 60 6.25
44 53 7.84
45 64 2.79
45 74 1.83
45 67 3.87
46 47 1.00
47 73 2.14
48 49 1.96
49 70 4.86
50 57 2.90
50 51 5.09
50 93 2.01
50 95 3.17
51 88 3.85
51 89 3.10
51 93 3.16
53 59 3.43
54 55 1.85
55 92 2.32
56 57 4.14
56 77 1.68
57 96 5.00
57 92 2.38
57 97 5.00
58 107 1.00
59 60 3.83
63 98 5.00
63 84 3.31
63 70 3.97
63 71 7.72
65 67 3.76
66 109 5.00
69 109 5.00
73 73 1.00
76 88 4.84
76 87 5.87
78 80 2.79
82 83 5.00
84 101 2.83
85 90 5.19
86 94 5.00
86 95 4.54
87 94 5.00
90 91 2.89
91 101 4.09
94 108 5.00
102 103 1.00
105 106 1.18
106 107 1.00
