125 146
0 25 1.09
0 9 1.00
1 114 5.00
1 70 1.00
2 99 1.00
2 3 1.00
3 4 1.00
3 5 1.00
3 6 1.00
3 7 2.01
5 103 1.00
8 100 1.00
8 92 5.00
9 64 1.22
10 58 1.00
10 11 1.00
11 18 1.00
12 19 1.00
13 18 1.00
13 19 1.00
14 17 1.00
14 111 5.00
15 114 5.00
15 111 5.00
16 112 5.00
16 17 1.00
18 39 1.00
19 59 1.00
20 64 1.00
20 36 1.00
21 80 5.00
21 54 5.00
21 79 5.00
22 80 5.00
22 54 5.00
22 79 5.00
23 26 1.34
23 27 1.00
24 35 5.00
24 36 5.00
25 28 1.00
26 107 1.00
26 87 1.00
27 28 1.00
28 88 1.03
29 32 1.00
29 33 1.00
29 101 1.00
29 105 1.47
29 106 1.00
29 30 5.00
30 31 5.00
31 32 5.00
33 34 1.00
34 104 1.00
34 103 1.06
35 42 1.00
37 40 1.00
37 38 1.00
38 43 1.00
39 40 1.00
41 42 1.05
41 44 1.01
43 44 1.00
44 116 1.30
45 93 5.00
45 54 1.00
46 93 5.00
46 47 1.00
47 48 1.00
48 49 1.00
48 123 5.00
48 78 1.00
49 109 5.00
50 76 1.00
51 76 1.00
51 52 1.00
52 109 5.00
53 123 5.00
55 56 1.00
55 62 1.00
56 57 1.00
57 97 1.00
58 97 1.00
58 92 5.00
59 124 5.00
59 61 1.00
60 124 5.00
60 109 5.00
61 98 1.00
62 98 1.00
63 96 5.00
63 66 1.00
64 116 1.00
64 65 1.00
65 111 5.00
66 87 1.00
67 74 3.34
67 68 1.00
67 86 1.00
68 95 5.00
69 117 1.00
69 70 1.00
71 74 1.00
72 74 1.00
72 117 1.00
73 124 5.00
73 110 5.00
74 112 5.00
74 110 5.00
75 76 1.00
75 95 5.00
76 110 5.00
77 80 1.00
77 78 1.00
79 82 1.00
81 82 1.00
81 94 5.00
83 86 1.00
83 94 5.00
84 94 5.00
85 95 5.00
88 91 5.00
89 90 5.00
89 115 5.00
89 122 5.00
90 96 5.00
91 120 5.00
93 123 5.00
96 121 5.00
99 105 1.00
100 105 1.00
100 107 1.00
101 106 1.00
102 103 1.00
106 108 1.00
107 108 1.00
111 113 5.00
112 113 5.00
113 114 5.00
115 117 1.00
117 118 1.00
118 119 1.00
119 120 1.00
120 121 1.00
121 122 1.00
