51 64
0 1 1.49
0 3 1.00
0 36 1.00
0 33 1.55
0 9 1.09
0 35 1.18
1 6 1.00
2 41 1.00
2 42 1.00
2 3 1.00
2 50 1.00
4 5 1.00
4 7 1.00
5 8 1.00
5 6 2.19
6 14 2.43
6 7 1.00
9 17 1.10
10 29 1.85
10 22 1.00
11 12 1.00
11 20 1.00
12 24 1.00
13 16 1.67
13 33 1.00
13 34 1.00
13 26 1.08
14 18 1.00
14 23 1.82
14 15 1.00
15 16 1.00
16 17 1.00
16 36 1.00
18 19 1.00
19 20 1.00
21 22 1.00
23 24 1.00
23 26 1.00
23 28 1.30
23 31 1.60
25 26 1.00
25 28 1.00
27 28 1.00
27 30 1.21
29 32 1.00
29 37 1.00
29 30 1.00
31 33 1.00
32 33 2.16
32 38 1.00
32 47 1.00
34 35 1.00
37 45 1.00
38 39 1.00
39 40 1.00
39 48 1.00
41 50 1.00
43 49 1.00
43 44 1.00
44 45 1.00
45 46 1.00
46 47 1.00
47 48 1.00
48 49 1.00
