69 74
0 30 1.00
1 6 1.00
2 30 3.32
3 30 1.00
4 7 1.00
5 10 1.00
6 42 1.00
6 57 1.00
7 42 1.00
8 48 1.00
9 22 1.00
10 30 1.55
11 34 1.00
12 41 1.00
12 13 1.00
13 28 1.00
14 30 2.66
15 30 2.43
16 19 1.00
16 30 1.93
17 23 1.00
18 19 1.00
18 21 1.00
18 22 1.00
20 25 1.00
22 30 1.10
22 23 1.00
23 48 1.00
24 30 1.05
25 30 1.55
26 66 1.00
26 30 3.03
26 31 1.26
27 30 1.00
27 55 1.00
28 37 1.00
29 37 1.00
29 38 1.00
30 31 2.86
30 34 2.92
30 35 1.00
30 36 1.00
30 39 1.00
30 40 1.00
30 42 1.00
30 44 1.00
30 45 5.00
30 48 1.00
30 49 1.00
30 50 1.00
30 51 1.47
30 52 2.32
30 55 1.00
30 59 2.64
30 61 2.88
30 62 3.28
31 59 1.00
32 50 1.60
33 34 1.00
36 56 1.00
38 58 1.00
38 39 1.00
41 60 1.00
42 43 1.00
42 46 1.00
42 56 1.00
47 48 1.00
48 53 1.00
48 54 1.00
62 63 1.00
63 64 1.00
65 66 1.00
66 67 1.00
66 68 1.00
