67 83
0 7 1.05
1 62 1.00
1 63 1.00
2 57 1.00
2 58 1.00
2 3 5.00
2 52 5.00
2 59 1.00
4 10 1.00
4 11 1.00
4 5 1.00
4 45 2.64
4 7 1.00
5 48 1.00
6 34 1.00
7 34 1.00
8 45 1.00
9 32 5.00
9 26 1.00
9 12 1.44
10 62 1.00
11 14 1.00
11 55 1.00
12 15 1.00
13 15 1.00
14 29 1.00
14 30 1.00
15 28 1.00
16 17 1.00
16 25 1.00
16 49 1.23
17 41 1.00
17 42 1.00
17 38 1.00
18 19 1.00
18 47 1.00
19 20 1.00
20 24 1.00
21 33 5.00
21 23 1.00
22 33 5.00
23 40 1.00
24 25 1.00
26 27 5.00
28 30 1.17
29 55 1.00
30 41 1.00
30 43 1.00
31 35 5.00
31 36 5.00
31 62 5.00
32 42 5.00
32 44 5.00
32 41 5.00
33 37 5.00
34 35 4.60
34 62 1.00
35 36 2.52
36 45 1.63
37 38 1.00
39 40 1.00
39 42 1.00
41 44 1.00
43 44 1.00
46 51 1.00
46 54 1.00
47 53 1.00
48 55 1.00
49 50 1.00
49 63 1.12
50 51 1.00
53 66 1.00
53 54 1.00
56 58 1.00
56 61 1.00
57 65 1.00
58 65 1.00
59 60 1.00
60 61 1.00
61 62 1.17
63 64 1.00
64 66 1.00
65 66 1.00
