48 58
0 2 1.00
0 3 1.00
0 5 1.37
0 7 1.57
1 3 1.00
1 6 1.00
2 38 1.00
2 39 1.00
4 25 1.21
4 5 1.06
4 7 1.30
5 11 1.14
5 22 1.39
6 46 1.00
7 46 2.49
8 24 1.00
8 9 1.00
8 10 1.00
9 33 1.00
9 39 1.13
10 19 1.00
10 18 1.00
10 11 1.00
11 21 1.00
12 28 1.00
12 13 1.00
13 16 1.26
13 14 1.27
14 15 1.00
15 16 1.00
16 17 1.00
17 18 1.00
17 19 1.00
20 21 1.00
20 22 1.00
22 25 1.00
22 23 1.01
24 39 1.00
27 34 1.00
27 37 1.00
28 29 1.00
30 43 1.00
31 32 1.00
31 34 1.00
32 33 1.00
34 37 1.12
35 36 1.00
36 37 1.07
37 44 1.01
38 47 1.53
38 39 1.00
40 44 2.32
41 42 1.00
41 45 1.35
42 43 1.13
42 44 1.92
45 46 3.97
46 47 1.00
