47 63
0 1 22.33
0 2 13.08
0 3 4.93
0 37 28.54
0 9 92.84
0 43 58.32
0 44 55.38
0 45 56.05
1 2 14.62
1 37 26.80
2 37 17.38
3 24 83.55
3 45 57.98
3 46 17.19
4 5 7.11
4 6 6.15
5 24 9.56
5 8 2.73
5 32 13.35
5 9 5.46
6 24 5.16
6 9 6.46
7 24 18.95
7 9 22.22
8 9 2.73
9 30 139.37
13 40 41.01
20 30 17.18
20 31 12.44
24 40 162.83
24 31 142.49
26 43 1.00
28 39 24.53
29 40 38.81
29 35 16.75
29 36 128.01
29 30 43.06
29 31 37.38
30 34 54.82
30 35 44.73
30 36 136.21
30 40 79.58
30 42 117.30
30 43 125.23
30 44 132.43
30 45 115.64
30 31 5.77
31 40 74.32
31 43 130.62
31 44 137.84
31 45 120.64
37 38 5.44
37 43 34.97
37 44 29.86
37 46 19.37
38 44 33.10
39 40 4.75
40 41 13.47
42 43 179.46
43 44 7.38
43 45 17.13
43 46 44.35
45 46 41.83
