93 103
0 1 2.77
1 56 2.90
2 73 1.00
2 3 1.79
2 5 2.41
3 4 1.98
4 49 2.17
4 17 3.88
4 5 2.88
4 79 3.33
6 7 12.09
10 56 2.31
11 16 5.00
12 72 3.62
13 56 4.25
14 17 1.00
14 15 7.79
15 17 7.49
15 51 6.42
16 34 5.00
16 55 5.00
18 35 5.00
18 28 5.00
18 77 5.00
19 57 5.00
19 47 5.00
20 24 6.02
20 21 4.66
20 22 1.79
21 26 4.14
22 84 3.26
22 23 3.67
23 27 1.96
24 25 5.61
25 56 4.63
25 27 8.78
26 88 5.90
28 39 3.60
28 40 4.06
28 85 6.15
28 29 7.81
28 30 5.00
28 63 23.92
29 78 4.99
31 64 5.00
31 65 5.00
31 66 5.00
31 68 5.00
31 63 5.00
32 57 4.96
33 65 5.00
33 42 5.00
33 57 5.00
36 37 5.00
37 77 5.45
40 64 16.67
41 42 5.00
41 59 5.00
41 62 5.00
42 60 5.00
43 48 1.00
43 55 1.00
44 50 5.00
44 46 5.00
44 55 5.00
45 46 1.38
46 51 1.00
47 58 5.00
49 50 1.00
51 52 1.00
51 55 3.72
53 71 3.63
54 67 28.38
54 61 1.29
55 56 4.22
55 58 4.55
56 58 5.64
57 67 12.42
57 58 4.13
57 59 11.59
57 61 15.79
67 70 2.80
69 72 3.47
73 74 3.19
74 80 3.00
75 81 2.53
75 90 1.01
76 90 1.00
76 82 2.42
77 78 3.65
79 80 2.51
80 81 3.35
80 82 3.84
83 84 2.46
83 87 2.29
85 89 3.65
85 86 5.35
86 87 5.46
87 90 8.96
87 92 2.80
88 89 3.07
90 91 3.88
91 92 3.48
