45 64
0 1 1.00
0 3 1.00
0 12 1.00
1 27 1.56
1 6 1.00
2 3 1.00
2 36 1.00
2 14 1.00
4 5 1.00
4 37 1.32
4 39 1.00
5 8 1.00
5 9 1.00
5 6 1.00
5 7 1.00
6 7 1.00
8 40 1.00
8 9 1.00
10 18 1.00
10 13 1.00
11 21 1.00
11 13 1.20
12 26 1.73
12 13 1.20
13 21 1.54
13 14 1.00
14 16 1.29
14 36 1.00
14 15 1.71
15 35 1.00
16 17 1.00
17 24 2.01
17 18 1.13
17 35 2.11
18 19 1.00
19 20 1.00
20 24 1.07
20 22 1.00
20 23 1.00
21 24 2.66
21 31 1.92
22 24 1.00
25 26 1.00
26 31 1.00
27 34 1.00
27 30 1.53
28 34 1.27
28 30 1.66
29 37 1.00
31 32 1.00
31 33 1.00
32 33 1.00
32 34 1.00
33 34 1.37
35 36 1.48
35 44 1.58
36 43 1.88
37 38 1.00
38 39 1.00
40 41 1.64
41 42 1.17
41 43 1.24
42 43 2.07
43 44 1.88
