127 129
0 102 5.00
1 102 5.00
2 102 5.00
3 102 5.00
4 102 5.00
5 102 5.00
6 102 5.00
7 102 5.00
8 102 5.00
9 102 5.00
10 59 5.00
10 13 5.00
10 46 5.00
11 66 5.00
12 13 5.00
13 39 5.00
13 40 5.00
13 41 5.00
13 43 16.52
13 45 5.00
13 46 5.00
13 18 5.00
13 19 5.00
13 42 5.00
14 66 5.00
15 66 5.00
16 66 5.00
17 66 5.00
20 43 5.00
21 43 5.00
22 43 5.00
23 43 5.00
24 43 5.00
25 43 5.00
26 43 5.00
27 126 5.00
28 126 5.00
29 126 5.00
30 126 5.00
31 126 5.00
32 126 5.00
33 126 5.00
34 126 5.00
35 126 5.00
36 126 5.00
37 43 5.00
38 43 5.00
43 44 5.00
43 65 5.00
43 68 5.00
43 89 5.00
43 90 5.00
43 91 5.00
43 92 5.00
43 93 5.00
43 94 5.00
43 95 5.00
43 96 5.00
43 97 5.00
43 98 5.00
43 99 5.00
43 100 5.00
43 113 5.00
43 114 5.00
43 115 5.00
43 116 5.00
43 117 5.00
43 118 5.00
46 60 5.00
46 66 5.00
47 50 5.00
48 50 5.00
49 50 5.00
50 64 5.00
50 72 1.81
50 55 5.00
50 56 5.00
50 57 5.00
50 58 5.00
50 59 5.00
50 61 5.00
50 62 5.00
50 63 5.00
51 72 5.00
52 72 5.00
53 72 5.00
54 72 5.00
59 60 5.00
60 102 5.00
66 67 5.00
69 72 5.00
70 72 5.00
71 72 5.00
72 73 5.00
72 74 5.00
72 75 5.00
72 76 5.00
72 77 5.00
72 78 5.00
72 79 5.00
72 80 5.00
72 81 5.00
72 82 5.00
72 83 5.00
72 84 5.00
72 85 5.00
72 86 5.00
72 87 5.00
72 88 5.00
72 126 4.06
101 102 5.00
102 126 2.08
103 126 5.00
104 126 5.00
105 126 5.00
106 126 5.00
107 126 5.00
108 126 5.00
109 126 5.00
110 126 5.00
111 126 5.00
112 126 5.00
119 120 5.00
119 121 5.00
119 122 5.00
119 123 5.00
119 124 5.00
119 125 5.00
119 126 1.00
