84 93
0 43 1.55
0 44 1.65
1 44 1.38
1 45 1.13
1 71 1.62
2 56 1.84
2 3 1.89
3 53 1.61
4 65 1.54
4 10 1.61
5 65 1.39
5 27 1.53
5 52 1.15
5 25 1.89
6 54 1.72
6 71 1.39
7 29 1.21
7 30 1.00
8 9 1.00
8 75 1.00
9 10 1.08
10 55 1.00
11 60 1.00
11 55 1.00
12 66 2.16
12 59 1.13
13 75 1.71
13 36 1.00
13 55 1.59
14 58 1.30
14 19 1.00
15 58 1.00
15 19 1.00
16 18 1.74
16 63 1.41
17 49 5.00
17 78 5.00
18 21 2.02
18 22 1.50
18 31 1.11
19 32 1.00
19 33 1.60
19 38 1.08
19 59 1.00
20 48 1.58
20 22 1.66
21 61 2.04
23 25 1.70
23 31 1.87
24 28 1.70
24 31 1.96
26 27 1.23
26 28 1.32
29 75 1.63
30 45 1.81
33 60 1.29
34 81 1.25
34 82 2.18
34 79 1.00
35 40 1.97
35 53 1.00
36 80 1.00
37 60 1.00
37 38 1.02
38 59 1.13
39 40 1.00
40 41 1.00
41 42 1.00
41 43 1.00
46 69 1.35
46 47 1.35
47 78 1.00
48 54 1.49
49 72 1.38
50 70 1.45
50 62 1.00
51 72 1.17
51 67 1.00
52 60 1.63
55 66 1.07
56 83 1.96
57 64 1.35
57 58 2.18
61 69 1.00
62 63 1.00
67 68 5.00
68 69 5.00
68 70 5.00
73 74 1.00
74 78 12.10
76 77 6.10
77 78 1.00
77 79 27.18
