43 56
0 33 4.14
0 34 3.10
0 4 4.56
0 6 3.16
0 1 2.57
1 6 2.25
2 32 1.64
2 34 2.84
2 13 1.63
2 14 1.19
3 34 1.65
3 4 2.12
4 31 2.06
5 8 1.16
5 31 2.62
6 7 2.95
7 27 1.90
8 35 2.94
9 26 2.45
9 15 2.29
9 31 1.41
10 11 1.25
10 19 1.00
11 18 1.00
12 13 1.16
12 23 1.22
15 31 2.20
16 33 1.54
16 17 1.00
17 18 1.00
19 42 1.42
20 32 5.00
20 21 5.00
20 22 5.00
22 31 5.00
23 33 1.21
24 32 5.00
25 27 4.88
26 27 1.00
26 28 1.83
27 28 2.36
27 31 4.14
29 32 5.00
30 32 5.00
30 31 5.00
31 32 5.90
32 37 1.96
32 38 1.08
32 39 3.07
32 40 1.68
33 42 1.45
35 36 1.72
36 37 2.55
38 39 2.04
40 41 1.64
41 42 2.35
