48 52
0 1 1.00
0 2 1.37
0 3 1.47
0 4 2.76
0 39 1.46
2 47 1.25
4 6 1.19
4 7 1.00
4 16 1.00
4 26 5.00
4 27 5.00
5 27 5.00
8 27 5.00
9 27 5.00
10 11 1.27
11 13 1.00
12 25 5.00
12 47 1.00
13 24 5.00
13 16 1.26
14 21 1.79
14 15 1.00
15 16 1.00
16 17 1.02
17 18 1.00
18 19 1.48
19 23 5.00
20 37 5.00
21 25 5.00
22 41 5.00
22 42 5.00
22 35 5.00
23 35 5.00
23 36 5.00
24 25 5.00
25 42 5.00
27 33 5.00
28 42 1.16
29 42 1.19
30 37 1.00
30 31 2.01
31 32 1.00
31 33 1.00
34 37 1.50
38 46 1.08
40 41 1.00
40 44 1.63
42 43 1.00
42 44 1.96
44 45 1.63
45 46 1.00
45 47 1.97
