74 76
0 64 1.63
0 1 1.77
0 2 1.30
0 3 5.00
0 5 3.11
0 65 5.00
0 72 5.00
0 73 3.42
0 10 3.28
4 5 1.00
5 7 1.41
5 49 4.64
5 57 3.04
5 58 2.08
6 10 1.00
8 34 5.00
9 34 5.00
10 27 2.51
10 11 1.95
10 59 4.03
12 20 5.00
13 35 1.00
14 35 8.21
15 20 5.00
16 24 1.00
17 24 5.00
18 49 1.00
19 49 5.00
20 34 3.71
20 21 5.00
20 22 2.04
20 23 1.00
20 59 2.09
24 66 12.36
24 35 4.30
24 40 3.86
24 41 1.04
24 49 2.88
24 25 1.00
26 35 1.38
28 35 1.00
29 34 5.00
30 34 5.00
31 34 5.00
32 35 5.00
33 34 5.00
34 35 1.00
34 36 5.00
34 37 5.00
34 38 1.00
34 39 5.00
34 44 1.20
34 48 1.00
34 51 4.48
34 60 5.00
34 62 5.00
35 46 1.47
35 47 5.00
35 55 5.00
35 61 1.00
35 63 5.00
42 44 5.00
43 44 5.00
44 70 3.60
44 45 1.00
49 50 1.00
49 59 1.00
52 59 1.55
53 59 1.00
54 59 1.00
56 59 5.00
66 67 1.00
66 70 8.02
67 68 5.00
69 70 3.91
70 71 15.82
