50 68
0 1 1.00
1 8 1.68
1 3 1.00
2 41 1.00
2 3 1.00
2 6 1.00
3 49 1.00
4 8 1.00
4 9 1.00
4 7 1.00
5 8 1.00
5 47 1.00
6 7 1.13
8 32 1.00
8 35 1.00
8 38 1.00
8 47 1.25
8 36 1.00
8 30 1.00
8 31 1.00
9 32 1.00
10 11 1.00
11 19 1.00
11 23 1.00
12 30 1.00
13 30 1.00
13 14 1.00
14 42 1.00
14 45 1.24
14 15 1.00
15 16 1.00
16 17 1.00
17 18 1.00
18 19 1.00
19 24 1.00
19 30 1.14
20 26 1.00
20 21 1.00
21 28 1.00
22 37 1.00
22 30 1.00
23 30 1.00
24 27 1.00
25 27 1.00
25 37 1.00
26 27 1.00
26 29 1.00
28 29 1.00
30 36 1.00
30 38 1.00
30 31 1.00
32 39 1.00
32 38 1.00
32 33 1.00
33 34 1.00
34 35 1.00
37 38 1.00
38 39 1.00
40 41 1.00
40 49 1.00
42 44 1.00
42 46 1.00
43 44 1.00
43 46 1.00
45 47 1.00
46 47 1.00
47 48 1.00
48 49 1.00
