42 63
0 35 1.00
0 3 1.00
1 33 1.00
1 2 1.00
1 3 1.03
1 6 1.00
1 7 1.15
1 20 5.00
2 22 1.00
3 35 1.18
3 30 2.27
4 16 5.00
4 5 1.00
4 31 1.00
5 8 1.47
5 28 1.00
5 41 1.00
6 7 1.00
7 32 1.00
7 35 2.60
7 39 1.00
7 41 1.00
7 23 1.00
7 29 1.00
7 30 2.26
8 9 1.88
8 27 2.23
8 28 1.69
9 27 1.00
9 29 1.02
10 34 5.00
11 34 5.00
12 23 5.00
13 23 5.00
14 23 5.00
15 23 5.00
17 34 5.00
18 34 5.00
19 34 5.00
21 34 5.00
22 37 1.00
22 26 1.00
22 38 1.00
22 31 1.94
23 40 1.00
24 25 1.11
24 30 1.18
25 37 1.00
26 31 1.34
28 29 1.00
29 30 1.99
30 32 1.78
30 37 2.75
31 33 1.50
31 34 3.36
31 37 2.60
34 35 1.00
34 36 1.00
34 37 1.00
35 37 1.00
36 37 1.00
37 38 1.00
39 40 1.00
