74 92
0 50 5.00
0 35 5.00
0 38 5.00
1 24 5.00
1 61 5.00
1 15 5.00
2 40 5.00
2 42 5.00
2 61 5.00
3 35 5.00
3 36 5.00
3 69 5.00
4 40 5.00
5 40 5.00
6 12 5.00
7 40 5.00
8 14 1.00
8 30 1.00
8 39 1.00
9 29 1.00
10 40 5.00
11 40 5.00
12 22 5.00
12 15 1.18
13 24 5.00
14 42 1.00
16 17 1.00
17 40 1.00
17 42 1.00
17 41 1.00
18 49 5.00
18 60 5.00
18 62 5.00
19 63 5.00
19 20 5.00
19 47 5.00
20 34 5.00
20 51 5.00
21 25 5.00
21 22 5.00
21 70 5.00
22 25 5.00
22 34 5.00
23 26 5.00
23 43 5.00
23 29 5.00
24 29 5.00
26 29 1.00
27 40 5.00
28 62 1.00
28 55 1.00
29 48 1.00
29 50 1.03
29 31 1.00
30 35 1.00
31 48 1.00
32 63 1.00
33 42 1.00
33 46 1.00
35 70 1.50
36 70 1.00
37 50 1.00
37 38 1.00
39 50 1.00
40 41 1.00
42 45 1.00
43 44 1.00
43 45 1.00
44 46 1.00
47 55 1.00
47 63 1.00
49 60 5.00
49 66 5.00
50 65 5.00
50 54 5.00
50 56 5.00
51 55 1.00
52 64 5.00
53 60 5.00
57 64 5.00
58 64 5.00
59 64 5.00
64 72 1.00
65 73 5.00
65 70 5.00
66 69 1.00
67 68 1.00
67 69 1.00
68 70 1.00
69 70 1.00
70 71 1.00
72 73 1.00
