74 74
0 3 1.00
0 7 1.00
1 6 1.00
1 71 1.14
2 65 1.00
2 3 1.00
4 10 1.15
4 7 1.01
5 43 1.00
5 7 1.01
7 42 5.00
7 45 5.00
7 55 5.00
7 28 5.00
7 62 5.00
8 48 1.00
8 9 1.00
9 29 1.00
9 38 1.00
10 51 5.00
11 51 5.00
12 13 1.00
12 14 1.00
13 31 1.00
14 15 1.00
15 33 1.00
15 46 1.00
16 17 1.00
16 25 1.00
17 41 1.00
17 21 1.00
18 49 1.00
19 20 1.00
20 21 1.00
22 23 1.00
23 24 1.00
23 25 1.00
25 34 1.00
26 33 1.00
27 51 5.00
27 54 1.00
29 30 1.00
29 39 1.00
31 48 1.00
32 36 5.00
32 37 5.00
32 63 5.00
33 40 1.00
33 61 1.00
34 35 1.00
34 36 1.00
36 39 1.00
41 49 1.00
43 47 1.00
44 61 1.00
47 61 1.00
49 50 1.00
50 56 1.00
52 66 1.19
52 59 1.23
52 53 1.00
53 54 1.00
56 57 1.00
57 58 1.00
58 59 1.00
60 69 5.00
64 65 1.00
64 73 1.00
67 68 1.00
67 70 1.00
69 72 1.00
69 70 1.00
70 71 1.00
72 73 1.00
