145 186
0 8 1.00
0 10 3.22
1 91 3.04
1 126 1.93
2 3 1.88
2 5 1.00
3 49 2.28
4 5 7.17
5 8 3.23
5 6 1.06
6 7 1.12
7 9 1.77
9 18 1.74
9 19 4.92
10 13 1.51
11 16 1.00
11 17 1.56
11 12 1.00
11 31 1.67
12 13 1.32
12 30 1.06
14 35 1.65
14 30 4.84
15 18 1.00
15 19 3.68
15 71 2.72
16 17 1.00
19 119 1.45
20 26 2.00
20 52 4.00
20 21 1.00
21 25 4.09
22 29 1.00
22 37 4.68
22 23 2.16
23 25 1.37
23 54 4.20
24 25 3.78
24 27 1.57
24 76 2.99
25 84 1.46
25 29 1.25
26 81 2.64
27 81 2.61
28 37 3.35
31 34 2.24
32 129 2.94
32 130 2.86
32 131 1.00
32 117 2.75
33 117 1.73
33 38 1.00
34 60 5.29
35 68 4.21
36 37 1.84
36 39 1.23
37 74 3.06
37 118 5.00
38 39 1.64
40 41 1.00
40 142 2.39
40 47 1.00
41 46 1.00
42 108 1.08
43 139 1.75
43 108 1.00
44 46 1.00
45 48 1.60
45 124 1.00
46 128 3.54
46 47 1.00
46 123 2.01
46 124 1.00
47 107 1.17
48 49 1.23
50 58 1.68
51 136 1.52
51 58 1.45
52 132 2.72
52 133 2.39
52 70 5.00
52 53 1.00
52 55 1.91
53 58 2.25
54 118 5.00
54 70 5.00
55 74 2.28
56 57 1.92
56 59 1.78
56 79 6.36
57 81 3.71
58 59 1.58
60 61 3.09
60 69 6.25
60 71 4.14
61 62 1.00
62 64 2.13
62 63 1.01
63 80 1.71
64 65 2.53
65 98 1.25
66 98 2.28
67 98 1.81
67 87 2.04
68 69 1.00
69 79 6.13
70 118 5.00
71 72 1.35
71 95 6.37
72 73 1.12
73 120 3.06
73 96 1.46
75 97 3.37
75 82 2.81
76 97 1.63
76 99 2.10
76 77 1.68
77 102 1.79
77 78 1.41
78 84 1.68
78 85 1.66
80 81 4.49
81 82 1.00
83 141 1.38
83 86 1.00
84 85 1.00
86 107 1.20
87 88 1.21
87 95 1.00
88 93 2.51
88 94 1.10
88 95 1.00
89 90 1.00
89 92 1.15
90 91 1.07
91 92 1.00
91 94 3.79
91 105 1.63
93 120 1.61
94 126 3.45
95 96 3.33
95 120 2.53
97 98 1.93
98 100 1.24
98 104 4.26
99 100 2.17
99 102 2.20
101 104 1.00
101 102 2.70
103 104 1.00
103 106 1.06
105 106 1.00
108 141 1.31
109 116 1.00
109 110 1.91
110 112 1.00
110 111 1.10
112 117 1.00
113 144 2.12
113 129 1.21
113 114 1.00
113 115 1.11
114 115 1.13
115 116 1.26
119 120 4.32
119 122 1.62
120 125 2.39
121 128 1.93
122 123 1.00
125 127 1.64
126 128 3.16
126 127 2.20
127 128 1.25
129 130 2.68
129 144 1.00
129 143 1.68
130 134 2.31
131 132 1.00
133 136 2.76
134 135 3.99
135 136 1.00
137 138 1.31
137 139 1.55
138 140 1.00
140 141 1.00
141 142 1.24
