73 70
0 2 1.02
1 59 12.44
2 59 10.06
3 59 9.91
3 6 5.00
4 6 1.00
5 6 3.34
6 7 1.00
8 14 4.62
9 13 1.35
10 11 1.00
11 59 9.69
12 13 1.00
13 14 1.97
13 29 2.31
13 30 2.70
13 31 1.00
14 49 3.15
15 49 4.84
16 17 2.48
17 49 5.87
18 49 4.95
19 49 2.82
20 49 4.31
21 24 3.00
21 49 6.47
21 22 1.12
23 49 10.72
25 49 7.60
26 49 4.59
27 54 2.08
28 49 3.33
32 35 5.31
33 49 4.74
33 46 1.05
34 35 2.70
35 38 1.67
35 39 2.00
35 51 2.21
35 52 3.32
35 53 5.26
35 55 1.56
35 59 5.46
36 59 5.39
40 41 1.17
40 49 6.21
42 49 3.96
42 43 1.00
42 60 3.72
44 49 5.69
45 49 2.77
47 59 4.66
48 49 5.83
49 50 3.91
49 56 7.09
49 57 8.28
49 59 12.59
49 61 7.99
54 59 6.88
58 59 5.19
59 64 5.52
59 70 11.03
59 65 18.71
59 72 7.25
59 67 11.02
59 68 16.91
59 71 8.46
63 72 1.27
65 66 4.26
68 69 7.66
