53 89
0 1 5.00
0 6 76.72
1 49 5.00
1 10 5.00
1 44 5.00
1 52 5.00
2 3 6.07
2 6 71.41
4 5 5.35
4 6 6.95
4 7 3.93
4 8 7.20
4 38 4.80
4 37 5.16
5 34 5.46
5 7 7.40
5 8 2.73
5 9 1.99
5 27 13.69
5 28 9.31
6 7 4.01
8 34 2.73
8 18 14.78
8 25 5.08
8 30 17.22
9 38 1.00
10 11 5.00
10 12 5.00
11 48 5.00
11 46 5.00
12 48 5.00
12 49 5.00
13 22 11.41
14 34 21.81
14 15 12.85
15 16 1.00
15 33 5.34
15 34 8.96
15 32 5.00
16 17 4.37
17 18 7.76
17 34 6.14
18 34 13.35
19 42 9.94
19 20 6.17
20 21 17.76
20 22 8.05
21 42 13.92
22 41 15.18
23 36 7.56
23 37 15.79
24 35 158.87
24 46 204.75
24 31 38.81
25 28 4.33
26 32 5.00
27 28 7.25
27 30 6.25
28 30 7.84
29 49 44.60
31 46 167.49
31 47 174.79
32 34 5.00
33 34 4.57
33 39 4.55
34 39 4.42
34 41 7.78
34 37 7.18
35 41 5.78
35 42 4.02
35 36 5.11
35 37 9.91
37 38 3.96
37 39 6.22
37 42 8.76
39 40 1.12
40 41 3.26
41 42 1.88
43 51 14.62
43 52 22.33
44 45 49.81
44 49 10.54
45 46 17.13
46 47 7.38
47 50 29.86
49 50 19.37
49 52 14.35
50 51 17.38
51 52 13.08
