76 115
0 1 2.04
0 67 8.81
1 3 62.26
1 6 1.00
2 66 8.34
2 54 13.03
3 10 58.01
4 5 4.78
5 10 1.00
5 7 6.69
6 7 2.10
6 10 8.29
6 54 29.17
6 55 5.52
6 56 2.45
8 9 4.03
9 27 1.00
10 32 22.67
10 70 16.35
10 11 1.65
10 57 3.76
11 71 11.67
12 72 6.05
12 34 4.79
12 13 2.73
12 47 12.52
14 36 1.05
14 15 1.56
15 72 11.50
15 27 7.88
15 63 4.06
16 17 5.23
16 25 3.37
17 38 4.74
17 44 3.14
17 61 10.14
17 25 8.13
17 29 5.80
18 51 1.71
18 20 2.84
19 51 2.98
20 25 10.24
20 21 3.91
20 22 3.17
22 23 3.73
23 24 13.42
24 25 10.53
25 37 4.66
25 40 3.31
25 41 5.46
25 53 6.88
25 63 10.31
25 61 17.38
25 31 9.69
26 64 4.59
26 58 19.08
26 53 4.15
26 31 1.87
27 72 4.93
27 41 7.94
27 47 14.35
27 28 5.63
28 33 1.24
28 42 1.64
29 63 5.56
30 51 3.93
31 64 4.43
32 61 15.97
32 68 15.38
32 45 16.86
32 47 22.13
33 41 2.70
34 72 3.25
35 49 1.74
35 36 1.96
36 63 2.41
37 41 2.06
38 49 3.74
40 41 2.21
41 42 2.00
41 58 22.34
41 61 22.42
43 46 5.26
43 47 9.95
44 61 7.07
45 48 7.19
45 47 8.57
46 61 5.73
47 72 17.19
47 48 2.01
47 61 19.37
47 63 3.95
49 63 2.58
51 58 3.21
54 60 4.14
54 61 1.00
55 66 6.19
55 68 12.48
56 57 2.51
58 59 4.58
58 60 3.54
58 61 5.44
59 60 1.78
60 61 4.40
61 66 21.34
61 73 14.80
62 64 1.00
66 75 7.96
66 67 2.60
68 69 6.90
68 70 9.77
68 71 8.32
69 70 5.51
70 71 3.50
73 75 6.71
