82 82
0 75 2.77
1 75 2.99
2 75 1.32
3 75 2.57
4 76 4.95
5 76 5.76
6 75 4.48
7 76 4.68
8 76 11.26
9 76 12.24
10 76 5.00
11 74 1.00
12 76 3.98
13 76 4.76
14 76 4.03
15 76 7.56
16 76 7.91
17 76 5.00
18 76 10.77
19 76 2.94
20 76 2.16
21 76 5.70
22 76 4.59
23 76 2.99
24 76 3.46
25 76 4.57
26 76 4.96
27 76 5.84
28 74 1.95
29 76 7.22
30 76 14.68
31 76 8.48
32 76 12.64
33 76 11.55
34 76 2.87
34 39 3.77
35 76 9.99
36 76 13.81
37 49 5.85
38 72 4.56
40 44 8.80
41 76 7.53
42 76 13.12
43 76 10.12
44 76 2.50
45 76 3.93
46 76 13.08
47 76 3.23
48 76 7.59
49 76 1.00
50 76 7.72
51 74 5.00
52 76 2.12
53 76 1.49
54 76 2.70
55 76 11.33
56 76 3.00
57 74 1.29
58 74 1.87
59 76 12.23
60 74 1.38
61 76 2.09
62 76 2.64
63 76 2.89
64 76 9.90
65 76 5.00
66 76 5.00
67 74 5.00
68 76 8.90
69 76 14.31
70 75 1.00
71 75 4.06
72 76 8.51
73 76 5.34
74 76 5.28
74 77 2.47
74 78 1.82
74 79 3.19
74 80 3.53
74 75 4.92
75 76 7.81
75 81 2.28
