69 96
0 1 1.00
0 3 1.00
0 68 1.14
0 49 6.78
0 54 1.62
0 23 4.57
1 32 6.25
1 3 1.00
1 6 1.00
1 48 1.42
1 58 5.00
1 62 5.87
2 3 1.47
2 60 1.00
3 5 1.00
3 45 5.00
3 46 3.77
3 22 4.57
3 61 5.87
4 5 1.00
4 7 1.00
5 10 1.00
5 54 1.09
6 51 1.00
7 51 1.00
8 65 1.00
8 36 3.59
8 37 1.00
8 9 1.00
8 29 1.62
8 62 5.49
9 26 1.00
10 50 1.00
10 11 1.00
12 32 15.19
12 15 2.22
12 29 2.71
12 61 9.61
12 13 1.00
13 40 14.81
13 43 2.01
13 29 2.86
14 30 1.65
14 31 2.67
15 42 3.17
15 43 1.00
16 17 1.00
16 61 3.59
16 22 3.53
16 39 1.00
17 25 1.17
18 19 1.00
18 20 1.00
18 46 2.40
18 23 2.40
20 21 1.00
21 22 1.08
22 23 1.00
22 24 2.01
22 61 6.44
24 25 1.06
25 38 1.00
26 61 4.61
26 29 2.40
27 35 1.00
27 36 1.00
27 61 1.27
28 32 5.00
30 56 1.60
31 44 1.00
33 40 1.00
34 35 1.00
34 62 1.00
39 41 1.00
41 63 2.07
42 56 1.18
42 44 3.54
43 56 2.54
43 62 11.80
46 47 1.00
47 53 1.62
48 50 1.00
49 50 7.94
52 54 1.03
53 54 1.00
54 55 1.00
57 64 4.33
57 66 6.23
59 67 1.00
59 60 1.00
61 62 1.00
61 63 1.00
62 63 1.00
63 64 1.95
66 67 1.00
67 68 1.21
