158 189
0 85 5.00
1 85 5.00
1 103 1.00
2 3 1.00
2 132 1.00
3 4 1.00
3 5 1.53
4 48 1.00
5 6 1.44
6 157 2.40
7 8 1.20
7 9 1.54
7 119 1.20
7 109 1.00
7 85 5.00
8 9 1.00
9 21 1.95
9 86 5.00
10 18 1.24
10 11 1.18
10 13 1.00
11 16 1.00
11 18 2.09
12 13 1.00
12 30 1.00
14 17 1.00
14 15 1.00
15 18 2.04
16 17 1.00
18 67 1.00
18 19 1.88
19 107 1.58
20 21 1.00
20 77 1.44
22 28 1.00
22 29 1.00
22 23 1.00
23 29 1.00
24 26 1.00
24 27 1.00
24 119 1.83
25 97 1.00
26 97 1.00
28 52 1.00
30 131 1.01
30 84 5.00
31 34 1.00
31 84 5.00
32 33 1.00
32 35 1.00
33 34 1.00
33 36 2.03
33 39 1.00
34 84 5.00
35 116 1.00
36 37 1.00
37 83 1.00
38 83 2.04
38 39 1.13
40 43 1.70
41 44 1.00
41 46 1.00
42 43 1.69
42 87 1.00
44 45 1.00
45 46 1.00
46 137 1.00
46 47 1.00
47 48 1.00
49 157 1.91
49 135 2.23
50 57 1.00
50 51 2.86
50 124 1.09
50 125 1.00
51 149 1.07
52 53 1.00
53 58 1.00
53 83 1.00
53 54 1.00
54 55 1.00
56 57 1.00
56 59 1.00
57 128 1.62
57 123 1.00
58 59 1.00
60 153 1.09
60 155 1.65
61 155 1.82
61 150 2.30
62 78 5.00
62 79 5.00
63 64 1.00
63 79 5.00
64 65 1.00
65 126 1.00
66 114 1.66
66 91 1.27
67 106 1.61
68 76 1.00
68 77 1.00
69 77 1.00
69 70 1.00
70 71 1.00
72 73 1.00
72 74 1.00
72 76 1.00
73 74 1.00
75 92 1.00
75 111 1.00
76 92 1.00
77 135 1.85
77 151 3.37
77 152 2.31
78 120 5.00
78 127 5.00
79 99 5.00
80 81 1.00
80 86 5.00
81 103 1.00
82 104 5.00
82 105 5.00
82 109 5.00
86 133 5.00
87 143 1.00
88 89 1.00
88 94 1.00
89 115 1.00
90 98 1.09
90 91 1.00
91 97 1.00
91 117 1.00
92 93 1.00
93 94 1.00
94 95 1.00
95 110 1.00
96 120 1.00
96 126 1.00
97 98 1.00
99 121 1.00
100 101 1.00
100 118 1.00
101 108 1.00
102 105 1.00
102 103 1.30
103 133 1.07
104 107 1.00
106 107 1.48
106 108 1.00
106 109 1.00
110 113 1.00
110 111 1.00
112 113 1.00
112 115 1.00
114 117 1.53
116 117 1.56
116 118 1.00
118 119 1.00
121 144 1.00
122 129 1.00
122 124 1.35
123 129 1.00
124 131 1.42
125 130 1.00
127 128 1.00
127 129 1.00
128 129 1.00
130 131 1.00
132 133 1.00
133 138 1.00
134 136 1.03
134 137 1.00
134 141 1.00
135 136 1.61
138 139 1.00
139 140 1.00
140 141 1.31
142 157 3.73
142 143 1.00
144 145 1.00
145 146 1.00
146 147 1.00
148 149 1.00
150 152 1.85
150 154 3.73
150 151 2.05
153 154 1.27
155 156 1.00
156 157 1.10
