63 78
0 11 1.42
0 19 1.00
0 2 1.00
0 3 1.00
0 21 1.69
1 3 1.00
1 6 1.00
2 6 1.00
2 54 1.81
5 10 1.40
5 20 1.88
6 7 1.59
8 56 1.16
8 9 1.00
8 28 1.47
8 12 1.41
9 26 1.00
9 15 1.00
10 25 2.09
11 48 1.00
11 14 2.05
12 51 1.12
12 13 1.00
13 27 2.66
13 28 1.89
14 41 1.00
15 51 1.00
16 17 1.39
16 42 1.62
17 36 1.90
17 37 1.82
18 19 1.00
18 47 1.00
20 22 1.07
20 21 1.23
22 32 5.00
23 32 5.00
23 24 1.00
24 25 1.49
25 32 5.00
26 58 1.00
27 33 3.00
28 31 1.00
29 45 1.17
29 30 1.00
30 32 5.00
30 42 1.00
31 33 1.00
33 55 1.00
34 43 5.00
34 60 5.00
34 62 5.00
35 36 1.00
35 38 1.00
37 40 1.52
37 38 2.47
39 40 1.00
39 42 1.00
41 42 1.00
43 44 1.44
44 49 1.40
44 47 1.18
45 49 1.00
45 52 1.00
45 46 1.00
46 47 1.17
47 48 1.00
49 50 1.00
49 59 3.02
50 51 1.00
51 52 1.13
53 62 1.56
53 54 1.05
55 56 1.00
56 57 1.00
57 58 1.00
58 59 1.41
59 60 2.34
