49 84
0 1 11.87
0 3 2.47
0 4 8.01
2 39 2.51
3 39 5.26
4 5 1.94
4 6 4.59
4 45 61.94
4 13 33.09
4 21 9.75
4 22 5.00
4 25 17.19
5 8 2.16
6 9 9.51
6 7 2.24
7 20 7.86
8 9 1.00
9 33 13.08
9 34 5.63
9 10 5.00
9 11 5.00
9 13 28.54
9 14 29.40
9 45 58.78
9 23 4.59
9 25 14.35
9 27 22.77
9 31 55.38
12 13 4.40
12 14 3.54
13 33 17.38
13 43 40.53
13 45 35.73
13 14 5.44
13 25 19.37
13 27 10.96
13 31 29.86
14 37 24.49
14 15 7.66
14 18 23.33
15 17 12.87
15 18 16.14
16 33 6.88
16 17 3.02
17 18 4.93
18 19 5.00
18 33 14.62
20 21 4.18
20 39 1.51
21 24 2.18
21 23 2.77
21 48 15.19
24 25 5.75
25 33 14.18
25 43 41.83
25 45 44.75
25 48 8.57
25 26 3.95
25 27 9.95
26 28 5.56
27 43 36.21
27 45 36.23
27 47 13.38
27 28 5.81
29 41 4.22
30 43 5.00
31 32 5.52
31 36 5.00
31 38 2.69
31 45 8.39
32 37 6.19
32 47 14.60
33 34 8.57
35 45 5.00
37 38 7.21
39 40 1.35
39 41 40.60
41 42 10.10
42 43 2.88
43 44 3.50
43 45 16.40
44 45 12.93
45 46 14.47
46 47 8.95
