39 51
0 1 1.00
0 13 1.00
1 3 1.01
1 6 1.42
2 38 1.00
2 29 1.00
2 30 1.00
4 9 1.62
4 7 1.00
4 13 1.00
4 15 5.00
5 8 1.00
5 6 1.35
6 13 1.09
7 16 5.00
8 24 1.00
8 16 5.00
9 16 5.00
10 17 5.00
10 18 5.00
10 28 5.00
11 19 1.00
11 12 1.00
12 22 1.00
13 34 1.00
13 35 1.00
13 15 5.00
14 33 5.00
14 37 5.00
14 38 5.00
15 32 5.00
15 34 5.00
16 24 5.00
17 24 5.00
17 23 5.00
18 21 5.00
18 22 5.00
18 23 5.00
19 20 1.00
20 21 1.00
21 28 1.00
25 26 1.00
26 27 1.00
27 28 1.00
29 38 1.00
29 30 1.00
31 32 1.07
34 35 1.00
35 36 1.00
36 37 1.00
37 38 1.26
