92 96
0 32 1.00
0 41 1.47
1 32 1.00
1 33 1.00
2 3 1.00
2 78 1.00
3 4 1.17
4 5 1.00
5 6 1.00
6 7 1.00
7 11 5.00
8 9 1.00
8 11 5.00
9 41 1.00
10 11 5.00
10 62 1.00
12 64 1.00
12 65 1.00
13 29 1.00
13 77 1.00
14 52 1.00
14 70 1.00
15 25 1.06
15 51 1.00
16 64 1.00
16 67 1.00
17 60 1.00
17 61 1.00
18 33 1.00
18 30 1.00
19 31 1.22
20 21 1.00
20 23 1.00
21 46 1.00
22 83 1.00
22 23 1.00
24 25 1.00
24 27 1.00
24 28 1.00
26 79 1.00
26 47 1.00
27 47 1.00
28 51 1.00
29 51 1.00
30 31 1.23
33 34 1.12
34 55 1.00
35 82 1.00
35 83 1.00
36 82 1.00
36 91 1.00
36 55 1.13
37 91 1.72
37 39 1.07
38 90 1.00
38 39 1.00
40 46 1.00
40 79 1.00
42 49 1.00
42 43 1.00
43 74 1.20
44 75 1.01
44 76 2.84
45 50 1.00
45 76 1.00
45 85 1.00
46 73 1.00
46 78 1.00
47 48 1.00
48 80 1.00
49 81 1.00
50 77 1.00
52 53 1.00
53 60 1.00
54 72 1.00
54 57 1.00
56 57 1.39
56 59 1.25
58 59 1.00
58 61 1.26
62 65 1.11
63 86 1.00
63 87 1.00
66 67 1.00
66 69 1.00
68 69 1.08
68 71 1.00
70 71 1.00
72 73 1.14
74 75 1.00
80 81 1.69
84 85 1.00
84 86 1.00
87 88 1.00
88 89 1.00
89 90 1.02
