34 49
0 1 10.47
0 3 23.25
0 10 16.45
0 20 8.80
0 22 10.67
0 23 13.92
1 6 1.74
2 3 5.26
2 31 6.00
3 27 13.22
4 8 9.35
4 7 4.74
5 24 9.34
5 25 5.02
5 18 3.91
6 21 9.53
6 15 8.72
7 15 9.42
7 23 5.19
8 33 3.21
8 18 4.54
9 18 1.76
10 11 7.36
10 14 16.16
11 12 4.59
12 23 10.06
13 24 4.40
13 32 1.78
14 19 16.90
14 23 10.53
16 17 2.05
16 18 7.54
16 23 3.37
17 19 3.73
17 23 3.53
20 21 2.06
21 22 2.35
23 31 18.11
24 33 5.44
24 31 1.00
25 31 7.75
26 27 14.34
26 29 8.79
27 28 6.71
28 30 5.55
29 30 6.33
30 32 12.12
30 31 13.03
32 33 4.58
